NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),prixHT,SUM(QTEPRD)
SKHIRA,GASOIL,SIDI BENNOUR,18-Jul,MONASTIR,SIDI BEN NOUR,227391.421,1190.531,191
SKHIRA,SSP SUPER SANS PLOMB,SIDI EL HENI,18-Jul,SOUSSE,SIDI EL HENI,34240.492,1556.386,22
GOULETTE,GASOIL,BERGES DU LAC,18-Jul,TUNIS,TUNIS VILLE,239296.731,1190.531,201
GOULETTE,GASOIL,BOU SALEM,18-Jul,JENDOUBA,BOUSALEM,627409.837,1190.531,527
GOULETTE,SSP SUPER SANS PLOMB,FOUCHANA,18-Jul,BEN AROUS,FOUCHANA,191435.478,1556.386,123
GOULETTE,GASOIL,SORTIE SUD Z4,18-Jul,TUNIS,TUNIS VILLE,341682.397,1190.531,287
BIZERTE CARBURANT,APG AGILIX PREMIUM GAS.,NABEUL,18-Jul,NABEUL,NABEUL,6313.276,1578.319,4
SKHIRA,GASOIL,M. HACHED,18-Dec,MAHDIA,MENZEL HACHED,64067.007,1256.215824,51
SKHIRA,GASOIL 50,EL JEM,18-Jul,MAHDIA,EL JEM,165223.49,1436.726,115
GOULETTE,GASOIL,HAMMAM LIF,18-Jul,BEN AROUS,HAMMAM-LIF,119053.1,1190.531,100
BIZERTE CARBURANT,GASOIL 50,ZARZOUNA,18-Jul,BIZERTE,ZARZOUNA,66089.396,1436.726,46
GOULETTE,GASOIL,AV REPUBLIQUE,18-Jul,TUNIS,TUNIS VILLE,167864.871,1190.531,141
SKHIRA,SSP SUPER SANS PLOMB,EL JEM PK192,19-Jan,MAHDIA,EL JEM,113975.874,1605.294,71
GOULETTE,GASOIL,MEDJEZ EL BAB,19-May,BEJA,MEDJEZ EL BAB,274636.316,1333.186,206
GOULETTE,SSP SUPER SANS PLOMB,TOZEUR VILLE,19-Jan,TOZEUR,TOZEUR,33711.174,1605.294,21
GOULETTE,SSP SUPER SANS PLOMB,BOUARGOUB,19-Feb,NABEUL,BOUARGOUB,118791.756,1605.294,74
BIZERTE CARBURANT,GASOIL 50,BOUARADA,18-Aug,SILIANA,BOUARADA,22987.616,1436.726,16
GOULETTE,GASOIL,BEN AROUS MC 34,19-Jan,BEN AROUS,BEN AROUS,278678.82,1255.31,222
ZARZIS,SSP SUPER SANS PLOMB,HOUMT SOUK,19-Feb,MEDENINE,HOUMT SOUK,102738.816,1605.294,64
GOULETTE,SSP SUPER SANS PLOMB,KANTAOUI,19-Feb,SOUSSE,HAMMAM SOUSSE,248820.57,1605.294,155
ZARZIS,GASOIL 50,HOUMT SOUK,19-Feb,MEDENINE,HOUMT SOUK,58040.97,1488.23,39
GOULETTE,SSP SUPER SANS PLOMB,MORNAG,19-Jan,BEN AROUS,MORNAG,199056.456,1605.294,124
GOULETTE,GASOIL,SIDI BOUZID,19-Jan,SIDI BOUZID,SIDI BOUZID,46446.47,1255.31,37
GOULETTE,SSP SUPER SANS PLOMB,AV REPUBLIQUE,19-Jan,TUNIS,TUNIS VILLE,248820.57,1605.294,155
SKHIRA,GASOIL 50,BIR LAHMAR,18-Nov,TATAOUINE,BIR LAHMAR,34265.929,1489.823,23
SKHIRA,SSP SUPER SANS PLOMB,HAZOUA,19-Jan,TOZEUR,HASOUA,14447.646,1605.294,9
GOULETTE,GASOIL,MOKNINE,19-Jan,MONASTIR,MOKNINE,227211.11,1255.31,181
GOULETTE,SSP SUPER SANS PLOMB,SIDI SMAIL,19-Jan,BEJA,SIDI SMAIL,20868.822,1605.294,13
GOULETTE,SSP SUPER SANS PLOMB,KORBA,19-Jan,NABEUL,KORBA,146081.754,1605.294,91
GOULETTE,SSP SUPER SANS PLOMB,JORF JERBA,19-Jan,MEDENINE,JORF,12842.352,1605.294,8
BIZERTE CARBURANT,GASOIL 50,JENDOUBA GP17,18-Aug,JENDOUBA,JENDOUBA,27297.794,1436.726,19
BIZERTE CARBURANT,GASOIL 50,SOUSSE MED  ALI,18-Jul,SOUSSE,SOUSSE,50285.41,1436.726,35
SKHIRA,GASOIL,BEN AOUN,18-Jul,SIDI BOUZID,BEN AOUN,17857.965,1190.531,15
GOULETTE,SSP SUPER SANS PLOMB,GOULETTE,19-Jan,TUNIS,LA GOULETTE,126818.226,1605.294,79
GOULETTE,GASOIL,DAHMANI,18-Jul,LE KEF,DAHMANI,122624.693,1190.531,103
SKHIRA,SSP SUPER SANS PLOMB,NASRALLAH,18-Jul,KAIROUAN,SIDI ALI BEN NASRALL,15563.86,1556.386,10
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,TABARKA,18-Jul,JENDOUBA,TABARKA,52917.124,1556.386,34
SKHIRA,GASOIL 50,DOUZ*,18-Jul,KEBILI,DOUZ,18677.438,1436.726,13
SKHIRA,SSP SUPER SANS PLOMB,EL JEM,18-Nov,MAHDIA,EL JEM,130151.367,1606.807,81
SKHIRA,GASOIL,M.BOUZAIENE,18-Jul,SIDI BOUZID,MENZEL BOUZAIENE,75003.453,1190.531,63
BIZERTE CARBURANT,GASOIL 50,SAHLOUL,18-Nov,SOUSSE,SOUSSE,132594.247,1489.823,89
GOULETTE,GASOIL,SOLIMAN,18-Jul,NABEUL,SOLIMAN,47621.24,1190.531,40
GOULETTE,GASOIL,H.ZRIBA,18-Jul,ZAGHOUAN,HAMMAM ZRIBA,149754.906,1188.531,126
GOULETTE,GASOIL,BEN AROUS,18-Jul,BEN AROUS,BEN AROUS,64288.674,1190.531,54
SKHIRA,SSP SUPER SANS PLOMB,EL GUETAR,19-Jan,GAFSA,EL GUETAR,52974.702,1605.294,33
BIZERTE CARBURANT,GASOIL,BIZERTE,18-Aug,BIZERTE,BIZERTE,92861.418,1190.531,78
BIZERTE CARBURANT,GASOIL 50,SLOUGUIA,18-Aug,BEJA,SLOUGUIA,37354.876,1436.726,26
ZARZIS,GASOIL 50,JORF JERBA,18-Aug,MEDENINE,JORF,53158.862,1436.726,37
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,M.DAR BEL OUER,18-Aug,SOUSSE,MENZEL DAR BEL OUAER,10894.702,1556.386,7
BIZERTE CARBURANT,APG AGILIX PREMIUM GAS.,SORTIE SUD Z4,19-Jan,TUNIS,TUNIS VILLE,29365.488,1631.416,18
GOULETTE,SSP SUPER SANS PLOMB,HASSI AMOR,19-Jan,MEDENINE,HASSI AMOR,6421.176,1605.294,4
SKHIRA,SSP SUPER SANS PLOMB,KONDAR,19-Jan,SOUSSE,KONDAR,16052.94,1605.294,10
GOULETTE,SSP SUPER SANS PLOMB,EL MOUROUJ 3,18-Jul,BEN AROUS,BIR EL KASSAA,154082.214,1556.386,99
BIZERTE CARBURANT,GASOIL,SIDI SMAIL,18-Dec,BEJA,SIDI SMAIL,16339.739,1256.903,13
SKHIRA,SSP SUPER SANS PLOMB,HERGLA,18-Jul,SOUSSE,HERGLA,31127.72,1556.386,20
BIZERTE CARBURANT,APS AGILIX PREMIUM ESS.,AV.BOUGATFA,18-Jul,TUNIS,LE BARDO,23789.416,1699.244,14
BIZERTE CARBURANT,GASOIL 50,HERGLA,18-Jul,SOUSSE,HERGLA,66089.396,1436.726,46
GOULETTE,SSP SUPER SANS PLOMB,SBIBA,18-Jul,KASSERINE,SBIBA,3112.772,1556.386,2
BIZERTE CARBURANT,GASOIL,GRIAAT S. PK29,18-Jul,BEJA,MEDJEZ EL BAB,11905.31,1190.531,10
GOULETTE,SSP SUPER SANS PLOMB,ROUHIA,18-Jul,SILIANA,ROUHIA,3112.772,1556.386,2
SKHIRA,GASOIL 50,C.O. ASKAR,18-Jul,SIDI BOUZID,CABELET OUELED ASKER,24424.342,1436.726,17
GOULETTE,SSP SUPER SANS PLOMB,HAMMAM SOUSSE,18-Jul,SOUSSE,HAMMAM SOUSSE,144743.898,1556.386,93
BIZERTE CARBURANT,GASOIL 50,M. HAYET PK156,18-Aug,MONASTIR,MENZEL EL HAYET,94823.916,1436.726,66
BIZERTE CARBURANT,GASOIL 50,AZMOUR,18-Jul,NABEUL,AZMOUR,4310.178,1436.726,3
GOULETTE,SSP SUPER SANS PLOMB,KONDAR,18-Jul,SOUSSE,KONDAR,35796.878,1556.386,23
BIZERTE CARBURANT,GASOIL,IDENE,18-Jul,BEJA,I D E N,8333.717,1190.531,7
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,SIDI SMAIL,19-Jan,BEJA,SIDI SMAIL,4815.882,1605.294,3
GOULETTE,SSP SUPER SANS PLOMB,EL BATEN,18-Jul,KAIROUAN,EL BATEN,23345.79,1556.386,15
SKHIRA,SSP SUPER SANS PLOMB,DOUZ*,18-Dec,KEBILI,DOUZ,40153.532,1606.14128,25
SKHIRA,GASOIL,METLAOUI,18-Dec,GAFSA,METLAOUI,123098.437,1256.1065,98
SKHIRA,SSP SUPER SANS PLOMB,M. SALEM,18-Jul,NABEUL,EL HAOUARIA,15563.86,1556.386,10
GOULETTE,GASOIL,CITE OLYMPIQUE,18-Nov,TUNIS,CITE ELKHADRA,296629.108,1256.903,236
GOULETTE,SSP SUPER SANS PLOMB,HAMMAM SOUSSE,18-Aug,SOUSSE,HAMMAM SOUSSE,191435.478,1556.386,123
GOULETTE,GASOIL,HAMMAM SOUSSE,18-Aug,SOUSSE,HAMMAM SOUSSE,173817.526,1190.531,146
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,SAHLOUL,18-Jul,SOUSSE,SOUSSE,21789.404,1556.386,14
BIZERTE CARBURANT,APG AGILIX PREMIUM GAS.,GAMMARTH,18-Jul,TUNIS,GAMMARTH,7891.595,1578.319,5
GOULETTE,GASOIL,KSAR HELAL,18-Nov,MONASTIR,KSAR HELLAL,174709.517,1256.903,139
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,HAMMAM SOUSSE,18-Jul,SOUSSE,HAMMAM SOUSSE,28014.948,1556.386,18
GOULETTE,SSP SUPER SANS PLOMB,AV.BOUGATFA,18-Nov,TUNIS,LE BARDO,249055.085,1606.807,155
GOULETTE,SSP SUPER SANS PLOMB,BOUMHEL,18-Aug,BEN AROUS,BOUMHAL,178984.39,1556.386,115
GOULETTE,GASOIL,AV DE CARTHAGE,18-Aug,TUNIS,TUNIS VILLE,75003.453,1190.531,63
GOULETTE,GASOIL,BIR EL KASSA,18-Nov,BEN AROUS,BIR EL KASSAA,438659.147,1256.903,349
GOULETTE,GASOIL,M. TEMIME,18-Aug,NABEUL,MENZEL TEMIME,439305.939,1190.531,369
SKHIRA,GASOIL,GHANNOUCH,18-Nov,GABES,GHANNOUCHE,41477.799,1256.903,33
GOULETTE,GASOIL,SIDI BOUSAID,18-Aug,TUNIS,SIDI BOUSAID,50002.302,1190.531,42
GOULETTE,GASOIL,EL MOUROUJ 3,18-Aug,BEN AROUS,BIR EL KASSAA,40478.054,1190.531,34
SKHIRA,SSP SUPER SANS PLOMB,NASRALLAH,18-Nov,KAIROUAN,SIDI ALI BEN NASRALL,14461.263,1606.807,9
GOULETTE,SSP SUPER SANS PLOMB,REJICHE,18-Jul,MAHDIA,REJICHE,15563.86,1556.386,10
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,ENNADHOUR,18-Aug,ZAGHOUAN,NADOUR,9338.316,1556.386,6
SKHIRA,GASOIL 50,GHANNOUCH,18-Aug,GABES,GHANNOUCHE,14367.26,1436.726,10
SKHIRA,SSP SUPER SANS PLOMB,S. KHELIFA pk72 ,18-Aug,SOUSSE,SIDI KHLIFA,146300.284,1556.386,94
SKHIRA,GASOIL,TOUZA,18-Aug,MONASTIR,TOUZA,151197.437,1190.531,127
SKHIRA,GASOIL 50,EL KANTRA,18-Aug,MEDENINE,EL KANTRA,68962.848,1436.726,48
SKHIRA,GASOIL,MENZEL M'HIRI,18-Aug,KAIROUAN,MENZEL M'HIRI,54764.426,1190.531,46
SKHIRA,GASOIL,CHERARDA,18-Aug,KAIROUAN,CHERARDA,157150.092,1190.531,132
SKHIRA,GASOIL,REJICHE,18-Aug,MAHDIA,REJICHE,116672.038,1190.531,98
SKHIRA,GASOIL,Rte SIDI MANSOUR,18-Aug,SFAX,SFAX,88099.294,1190.531,74
GOULETTE,SSP SUPER SANS PLOMB,BARGOU,18-Aug,SILIANA,BARGOU,12451.088,1556.386,8
SKHIRA,SSP SUPER SANS PLOMB,TOZEUR VILLE,18-Aug,TOZEUR,TOZEUR,130736.424,1556.386,84
GOULETTE,GASOIL,EL MOUROUJ 3,18-Aug,BEN AROUS,EL MOUROUJ,113100.445,1190.531,95
SKHIRA,SSP SUPER SANS PLOMB,EL GUETAR,18-Aug,GAFSA,EL GUETAR,140074.74,1556.386,90
SKHIRA,GASOIL 50,HAZOUA,18-Aug,TOZEUR,HASOUA,7183.63,1436.726,5
GOULETTE,GASOIL,MAAMOURA,18-Aug,NABEUL,MAAMOURA,72622.391,1190.531,61
GOULETTE,GASOIL,TEBOULBOU,18-Jul,GABES,TEBOULBOU,7143.186,1190.531,6
GOULETTE,SSP SUPER SANS PLOMB,GABES GP1,18-Jul,GABES,GABES,20233.018,1556.386,13
SKHIRA,GASOIL,MEDNINE,18-Nov,MEDENINE,MEDENINE,103066.046,1256.903,82
ZARZIS,GASOIL 50,EL KANTRA,18-Aug,MEDENINE,ZARZIS,126431.888,1436.726,88
GOULETTE,SSP SUPER SANS PLOMB,ZAGHOUAN,18-Aug,ZAGHOUAN,ZAGHOUAN,138518.354,1556.386,89
BIZERTE CARBURANT,GASOIL 50,ROUHIA,18-Jul,SILIANA,ROUHIA,4310.178,1436.726,3
SKHIRA,GASOIL 50,SIDI BOUZID,18-Nov,SIDI BOUZID,SIDI BOUZID,113226.548,1489.823,76
BIZERTE CARBURANT,GASOIL,SOUSSE REPUB,18-Jul,SOUSSE,SOUSSE,7143.186,1190.531,6
SKHIRA,GASOIL,KSOUR ESSEF,18-Aug,MAHDIA,KSOUR ESSAF,40478.054,1190.531,34
SKHIRA,SSP SUPER SANS PLOMB,EL MOUROUJ 3,18-Aug,BEN AROUS,BIR EL KASSAA,80932.072,1556.386,52
BIZERTE CARBURANT,APS AGILIX PREMIUM ESS.,BIZERTE,18-Aug,BIZERTE,BIZERTE,6796.976,1699.244,4
