NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),prixHT,SUM(QTEPRD)
SKHIRA,GAZOIL SANS SOUFRE,CITE EL HABIB - SFAX GPL,19-Aug,SFAX,SFAX,73087.068,1555.044,47
SKHIRA,GAZOIL SANS SOUFRE,MENZEL M'HIRI,19-Jun,KAIROUAN,MENZEL M'HIRI,3114.514,1557.257,2
GOULETTE,GAZOIL SANS SOUFRE,KSAR HELAL,19-May,MONASTIR,KSAR HELLAL,6229.028,1557.257,4
GOULETTE,GAZOIL SANS SOUFRE,SIDI EL HENI,19-May,SOUSSE,SIDI EL HENI,6229.028,1557.257,4
GOULETTE,APS AGILIX PREMIUM ESS.,ENNASR ARIANA,19-May,ARIANA,ENNASR,7294.452,1823.613,4
GOULETTE,GAZOIL SANS SOUFRE,SIDI BOUSAID,19-May,TUNIS,SIDI BOUSAID,6229.028,1557.257,4
GOULETTE,APG AGILIX PREMIUM GAS.,CITE OLYMPIQUE,19-Jun,TUNIS,CITE ELKHADRA,17092.92,1709.292,10
GOULETTE,GAZOIL SANS SOUFRE,GROMBALIA,19-May,NABEUL,GROMBALIA,12458.056,1557.257,8
GOULETTE,SSP SUPER SANS PLOMB,SOUSSE REPUB,19-Jun,SOUSSE,SOUSSE,26733.44,1670.84,16
SKHIRA,GASOIL,REMADA,19-Jun,TATAOUINE,REMADA,22664.162,1333.186,17
GOULETTE,GAZOIL SANS SOUFRE,SORTIE SUD Z4,19-May,TUNIS,TUNIS VILLE,21801.598,1557.257,14
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,HERGLA,19-Aug,SOUSSE,HERGLA,15018.651,1668.739,9
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,KANTAOUI,19-Aug,SOUSSE,HAMMAM SOUSSE,20024.868,1668.739,12
SKHIRA,GAZOIL SANS SOUFRE,HAJEB EL AYOUN,19-Aug,KAIROUAN,HAJEB EL AYOUN,52871.496,1555.044,34
GOULETTE,SSP SUPER SANS PLOMB,DAR ALLOUCHE,19-Sep,NABEUL,DAR ALLOUCHE,23362.346,1668.739,14
GOULETTE,GAZOIL SANS SOUFRE,MSAKEN,19-Aug,SOUSSE,M'SAKEN,73087.068,1555.044,47
GOULETTE,GAZOIL SANS SOUFRE,ENNASR ARIANA,19-Sep,ARIANA,ENNASR,219261.204,1555.044,141
GOULETTE,GAZOIL SANS SOUFRE,TATAOUINE,19-Jun,TATAOUINE,TATAOUINE,9343.542,1557.257,6
GOULETTE,GAZOIL SANS SOUFRE,CITE OLYMPIQUE,19-May,TUNIS,CITE ELKHADRA,24916.112,1557.257,16
SKHIRA,GAZOIL SANS SOUFRE,SIDI BOUALI,19-Mar,SOUSSE,SIDI BOU ALI,5952.92,1488.23,4
GOULETTE,SSP SUPER SANS PLOMB,EZZOUHOUR,19-Aug,TUNIS,EZZOUHOUR,288691.847,1668.739,173
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,GRIAAT N. PK29,19-Jun,BEJA,MEDJEZ EL BAB,20244.341,1557.257,13
BIZERTE CARBURANT,APG AGILIX PREMIUM GAS.,ZARZOUNA,19-Aug,BIZERTE,ZARZOUNA,10242.48,1707.08,6
BIZERTE CARBURANT,GASOIL,EL MRAZKA,19-Jun,NABEUL,HAMMAMET,7999.116,1333.186,6
GOULETTE,APG AGILIX PREMIUM GAS.,KAIROUAN,19-Jun,KAIROUAN,KAIROUAN,6837.168,1709.292,4
SKHIRA,GAZOIL SANS SOUFRE,SFAX GP1,19-Aug,SFAX,SFAX,68159.448,1622.844,42
SKHIRA,GAZOIL SANS SOUFRE,NAFTA,19-Aug,TOZEUR,NEFTA,21770.616,1555.044,14
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,FOUCHANA,19-Sep,BEN AROUS,FOUCHANA,6674.956,1668.739,4
ZARZIS,SSP SUPER SANS PLOMB,REMADA,19-Mar,TATAOUINE,REMADA,27289.998,1605.294,17
SKHIRA,APS AGILIX PREMIUM ESS.,Rte DE L'AEROPORT KM 9 ,19-Jun,SFAX,SFAX,5470.839,1823.613,3
GOULETTE,APS AGILIX PREMIUM ESS.,BEN AROUS,19-Mar,BEN AROUS,BEN AROUS,13997.312,1749.664,8
GOULETTE,SSP SUPER SANS PLOMB,MNIHLA,19-Aug,ARIANA,M'NIHLA,236960.938,1668.739,142
GOULETTE,SSP SUPER SANS PLOMB,JENDOUBA VILLE,19-Aug,JENDOUBA,JENDOUBA,200248.68,1668.739,120
SKHIRA,SSP SUPER SANS PLOMB,REMADA,19-Mar,TATAOUINE,REMADA,14447.646,1605.294,9
BIZERTE CARBURANT,APG AGILIX PREMIUM GAS.,GRIAAT S. PK29,19-Mar,BEJA,MEDJEZ EL BAB,13051.328,1631.416,8
GOULETTE,APS AGILIX PREMIUM ESS.,SOUSSE MED  ALI,19-Mar,SOUSSE,SOUSSE,5248.992,1749.664,3
GOULETTE,SSP SUPER SANS PLOMB,SIDI SMAIL,19-Mar,BEJA,SIDI SMAIL,28895.292,1605.294,18
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,EL BATEN,19-Mar,KAIROUAN,EL BATEN,7441.15,1488.23,5
SKHIRA,GASOIL,EL KANTRA,19-Mar,MEDENINE,EL KANTRA,46446.47,1255.31,37
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,SEJNENE,19-Mar,BIZERTE,SEJNENE,12842.352,1605.294,8
SKHIRA,GAZOIL SANS SOUFRE,EL HANCHA,19-Mar,SFAX,HENCHA,5952.92,1488.23,4
GOULETTE,GAZOIL SANS SOUFRE,SIDI BOUSAID,19-Mar,TUNIS,SIDI BOUSAID,10417.61,1488.23,7
SKHIRA,SSP SUPER SANS PLOMB,TATAOUINE,19-Mar,TATAOUINE,TATAOUINE,22474.116,1605.294,14
SKHIRA,GAZOIL SANS SOUFRE,JORF JERBA,19-Mar,MEDENINE,JORF,5952.92,1488.23,4
GOULETTE,GASOIL,DAR ALLOUCHE,19-Jul,NABEUL,DAR ALLOUCHE,35962.827,1331.956556,27
GOULETTE,GASOIL,ENNASR ARIANA,19-Jul,ARIANA,ENNASR,138527.416,1331.994385,104
GOULETTE,SSP SUPER SANS PLOMB,GROMBALIA,19-Jul,NABEUL,GROMBALIA,257141.28,1669.748571,154
SKHIRA,GAZOIL SANS SOUFRE,ENNASR ARIANA,19-Mar,ARIANA,ENNASR,5952.92,1488.23,4
GOULETTE,SSP SUPER SANS PLOMB,KSAR HELAL,19-Jul,MONASTIR,KSAR HELLAL,153593.321,1669.49262,92
GOULETTE,GASOIL,M. TEMIME,19-Jul,NABEUL,MENZEL TEMIME,365009.7,1332.15219,274
GOULETTE,GASOIL,BERGES DU LAC,19-Jul,TUNIS,TUNIS VILLE,270408.819,1332.063148,203
GOULETTE,GAZOIL SANS SOUFRE,AMDOUN,19-Jul,BEJA,AMDOUN,12449.204,1556.1505,8
GOULETTE,GASOIL,S.A.BOUHAJLA,19-Jul,KAIROUAN,SIDI AMOR BOUHAJLA,7999.116,1333.186,6
GOULETTE,GASOIL,SIDI ALOUENE,19-Jul,MAHDIA,SIDI ALOUANE,39995.58,1333.186,30
GOULETTE,SSP SUPER SANS PLOMB,DOUALA,19-Jul,NABEUL,DOUALA,40068.645,1669.526875,24
GOULETTE,GAZOIL SANS SOUFRE,Rte de RAOUED,19-Oct,ARIANA,ARIANA,63756.804,1555.044,41
GOULETTE,SSP SUPER SANS PLOMB,M. TEMIME,19-Jul,NABEUL,MENZEL TEMIME,384005.363,1669.588535,230
GOULETTE,SSP SUPER SANS PLOMB,M.DAR BEL OUER,19-Jul,SOUSSE,MENZEL DAR BEL OUAER,56768.641,1669.665912,34
ZARZIS,GAZOIL SANS SOUFRE,SIDGHEYNE,19-Jul,MEDENINE,HOUMT SOUK,59146.997,1556.499921,38
GOULETTE,GAZOIL SANS SOUFRE,BENI KHALLED,19-Jul,NABEUL,BENI-KHALED,45127.258,1556.112345,29
GOULETTE,APG AGILIX PREMIUM GAS.,KAIROUAN,19-Jul,KAIROUAN,KAIROUAN,6837.168,1709.292,4
GOULETTE,GASOIL,TOZEUR ,19-Sep,TOZEUR,TOZEUR,9316.811,1330.973,7
GOULETTE,GASOIL,PORT DE SFAX,19-Jul,SFAX,SFAX,34662.836,1333.186,26
SKHIRA,GASOIL,M. HACHED,19-Sep,MAHDIA,MENZEL HACHED,69210.596,1330.973,52
SKHIRA,SSP SUPER SANS PLOMB,M. HACHED,19-Sep,MAHDIA,MENZEL HACHED,28368.563,1668.739,17
SKHIRA,GAZOIL SANS SOUFRE,MAJEL B. ABBES,19-Dec,KASSERINE,MAGEL BEL ABBES,23325.66,1555.044,15
GOULETTE,APS AGILIX PREMIUM ESS.,EL MRAZKA,19-Jul,NABEUL,HAMMAMET,16399.911,1822.212333,9
GOULETTE,SSP SUPER SANS PLOMB,AV. HEDI SAIDI,19-Jul,TUNIS,TUNIS VILLE,228760.111,1669.781832,137
BIZERTE CARBURANT,GASOIL,GRIAAT N. PK29,19-Aug,BEJA,MEDJEZ EL BAB,17302.649,1330.973,13
GOULETTE,APS AGILIX PREMIUM ESS.,AV.BOUGATFA,19-Oct,TUNIS,LE BARDO,5464.536,1821.512,3
SKHIRA,GAZOIL SANS SOUFRE,SOUK JEDID,19-Sep,SIDI BOUZID,SOUK DJEDID,12440.352,1555.044,8
GOULETTE,GASOIL,KONDAR,19-Aug,SOUSSE,KONDAR,416594.549,1330.973,313
SKHIRA,GASOIL,HASSI AMOR,19-Jul,MEDENINE,HASSI AMOR,85264.153,1332.252391,64
GOULETTE,GAZOIL SANS SOUFRE,BORJ CEDRIA,19-Oct,BEN AROUS,BORJ CEDRIA,65311.848,1555.044,42
SKHIRA,GASOIL,TOZEUR VILLE,19-Jul,TOZEUR,TOZEUR,126553.085,1332.137737,95
SKHIRA,GASOIL,GHRAIBA,19-Jul,SFAX,GHREIBA,151874.767,1332.234798,114
SKHIRA,SSP SUPER SANS PLOMB,CITE EL HABIB - SFAX GPL,19-Jul,SFAX,SFAX,192033.146,1669.853443,115
SKHIRA,GAZOIL SANS SOUFRE,MAJEL B. ABBES,19-Jul,KASSERINE,MAGEL BEL ABBES,28012.922,1556.273444,18
SKHIRA,SSP SUPER SANS PLOMB,MARETH,19-Jul,GABES,MARETH,108520.56,1669.547077,65
SKHIRA,SSP SUPER SANS PLOMB,JEMMAL,19-Jul,MONASTIR,JAMMEL,11695.88,1670.84,7
SKHIRA,SSP SUPER SANS PLOMB,KORBA,19-Jul,NABEUL,KORBA,16708.4,1670.84,10
SKHIRA,GASOIL,SOUASSI,19-Jul,MAHDIA,SOUASSI,211795.108,1332.044704,159
SKHIRA,GAZOIL SANS SOUFRE,MAHRES,19-Jul,SFAX,MAHRES,102681.59,1555.781667,66
SKHIRA,GAZOIL SANS SOUFRE,M. CHAKER,19-Jul,SFAX,MENZEL CHAKER,6229.028,1557.257,4
SKHIRA,GAZOIL SANS SOUFRE,DEGACHE,19-Jul,TOZEUR,DEGACHE,12449.204,1556.1505,8
SKHIRA,GAZOIL SANS SOUFRE,B.A.B KHELIFA,19-Jul,SFAX,BIR ALI BEN KHELIFA,80908.761,1555.937712,52
GOULETTE,GASOIL,BEN AROUS,19-Sep,BEN AROUS,BEN AROUS,106477.84,1330.973,80
SKHIRA,GAZOIL SANS SOUFRE,DAHMANI,19-Jul,LE KEF,DAHMANI,3114.514,1557.257,2
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,ZARZOUNA,19-Jul,BIZERTE,ZARZOUNA,88699.472,1556.131088,57
BIZERTE CARBURANT,GASOIL,KHETMINE,19-Jul,BIZERTE,KHETMINE,189157.502,1332.095085,142
SKHIRA,SSP SUPER SANS PLOMB,HERGLA,19-Jul,SOUSSE,HERGLA,36758.48,1670.84,22
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,KHETMINE,19-Jul,BIZERTE,KHETMINE,31123.01,1556.1505,20
SKHIRA,GAZOIL SANS SOUFRE,ESSAIDA,19-Jul,SIDI BOUZID,ESSAIDA,14004.248,1556.027556,9
SKHIRA,GAZOIL SANS SOUFRE,OUEDHREF,19-Jul,GABES,OUEDHREF,24896.195,1556.012188,16
SKHIRA,GAZOIL SANS SOUFRE,M. HAYET PK156,19-Jul,MONASTIR,MENZEL EL HAYET,9343.542,1557.257,6
SKHIRA,APG AGILIX PREMIUM GAS.,GABES GP1,19-Jul,GABES,GABES,6832.744,1708.186,4
GOULETTE,APG AGILIX PREMIUM GAS.,GAMMARTH,19-Aug,TUNIS,GAMMARTH,5121.24,1707.08,3
GOULETTE,GASOIL,ENNADHOUR,19-Aug,ZAGHOUAN,NADOUR,29281.406,1330.973,22
GOULETTE,GASOIL,DOUALA,19-Aug,NABEUL,DOUALA,70541.569,1330.973,53
SKHIRA,GASOIL,BEN AOUN,19-Aug,SIDI BOUZID,BEN AOUN,18633.622,1330.973,14
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,LE SERS,19-Aug,LE KEF,LE SERS,10012.434,1668.739,6
GOULETTE,GAZOIL SANS SOUFRE,KERKER,19-Oct,MAHDIA,KERKER,23325.66,1555.044,15
GOULETTE,GAZOIL SANS SOUFRE,SOUSSE REPUB,19-Aug,SOUSSE,SOUSSE,37321.056,1555.044,24
GOULETTE,SSP SUPER SANS PLOMB,KAIROUAN,19-Sep,KAIROUAN,KAIROUAN,158530.205,1668.739,95
GOULETTE,GAZOIL SANS SOUFRE,KAIROUAN,19-Sep,KAIROUAN,KAIROUAN,87082.464,1555.044,56
GOULETTE,GASOIL,AV REPUBLIQUE,19-Aug,TUNIS,TUNIS VILLE,122449.516,1330.973,92
GOULETTE,GASOIL,DAHMANI,19-Aug,LE KEF,DAHMANI,107808.813,1330.973,81
GOULETTE,GAZOIL SANS SOUFRE,JENDOUBA GP17,19-Aug,JENDOUBA,JENDOUBA,52871.496,1555.044,34
GOULETTE,APS AGILIX PREMIUM ESS.,BERGES DU LAC,19-Aug,TUNIS,TUNIS VILLE,27322.68,1821.512,15
GOULETTE,SSP SUPER SANS PLOMB,TOUZA,19-Aug,MONASTIR,MOKNINE,26699.824,1668.739,16
GOULETTE,APS AGILIX PREMIUM ESS.,GAMMARTH,19-Aug,TUNIS,GAMMARTH,5464.536,1821.512,3
SKHIRA,APS AGILIX PREMIUM ESS.,CITE EL MOEZ  SFAX,19-Aug,SFAX,SFAX,3643.024,1821.512,2
GOULETTE,GAZOIL SANS SOUFRE,DAR ALLOUCHE,19-Aug,NABEUL,DAR ALLOUCHE,10885.308,1555.044,7
GOULETTE,SSP SUPER SANS PLOMB,EL MOUROUJ 3,19-Aug,BEN AROUS,EL MOUROUJ,61743.343,1668.739,37
BIZERTE CARBURANT,GASOIL,AV DE CARTHAGE,19-Aug,TUNIS,TUNIS VILLE,15971.676,1330.973,12
GOULETTE,APS AGILIX PREMIUM ESS.,NABEUL,19-Jul,NABEUL,NABEUL,5464.536,1821.512,3
GOULETTE,APS AGILIX PREMIUM ESS.,AV REPUBLIQUE,19-Aug,TUNIS,TUNIS VILLE,5464.536,1821.512,3
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,SIDI BOUSAID,19-Aug,TUNIS,SIDI BOUSAID,4665.132,1555.044,3
SKHIRA,SSP SUPER SANS PLOMB,EL KANTRA,19-Jul,MEDENINE,EL KANTRA,45055.953,1668.739,27
BIZERTE CARBURANT,GASOIL,S. LAHED .S,19-Jul,SOUSSE,SOUSSE,71872.542,1330.973,54
GOULETTE,GAZOIL SANS SOUFRE,BEL AOUM,19-Aug,SOUSSE,BEL OUM,3110.088,1555.044,2
BIZERTE CARBURANT,GASOIL,AZMOUR,19-Jul,NABEUL,AZMOUR,9316.811,1330.973,7
SKHIRA,SSP SUPER SANS PLOMB,M. CHAKER,19-Sep,SFAX,MENZEL CHAKER,30037.302,1668.739,18
GOULETTE,GASOIL,EL MOUROUJ,19-Sep,BEN AROUS,BIR EL KASSAA,280835.303,1330.973,211
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,Rte de RAOUED,19-Sep,ARIANA,ARIANA,16687.39,1668.739,10
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,S.A. BOUKHTIOUA,19-Sep,ARIANA,RAOUED,10012.434,1668.739,6
SKHIRA,SSP SUPER SANS PLOMB,M. HAYET PK156,19-Sep,MONASTIR,MENZEL EL HAYET,61743.343,1668.739,37
SKHIRA,SSP SUPER SANS PLOMB,KSAR SAID,19-Sep,TUNIS,KSAR SAID,61743.343,1668.739,37
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,TABARKA,19-Sep,JENDOUBA,TABARKA,21770.616,1555.044,14
GOULETTE,SSP SUPER SANS PLOMB,FOUCHANA,19-Sep,BEN AROUS,FOUCHANA,156861.466,1668.739,94
BIZERTE CARBURANT,GASOIL,TABARKA,19-Sep,JENDOUBA,TABARKA,75865.461,1330.973,57
BIZERTE CARBURANT,GASOIL,ENNASR ARIANA,19-Aug,ARIANA,ENNASR,7985.838,1330.973,6
GOULETTE,GAZOIL SANS SOUFRE,KONDAR,19-Sep,SOUSSE,KONDAR,38876.1,1555.044,25
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,MNIHLA,19-Sep,ARIANA,M'NIHLA,20024.868,1668.739,12
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,GOULETTE,19-Sep,TUNIS,LA GOULETTE,15018.651,1668.739,9
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,SAHLOUL,19-Sep,SOUSSE,SOUSSE,26699.824,1668.739,16
GOULETTE,SSP SUPER SANS PLOMB,OUERDANINE,19-Sep,MONASTIR,EL OUERDANINE,43387.214,1668.739,26
GOULETTE,APS AGILIX PREMIUM ESS.,AV.BOUGATFA,19-Sep,TUNIS,LE BARDO,5464.536,1821.512,3
GOULETTE,SSP SUPER SANS PLOMB,KERKER,19-Sep,MAHDIA,KERKER,53399.648,1668.739,32
GOULETTE,GASOIL,GHRAIBA,19-Sep,SFAX,GHREIBA,9316.811,1330.973,7
SKHIRA,SSP SUPER SANS PLOMB,MSAKEN,19-Sep,SOUSSE,M'SAKEN,11681.173,1668.739,7
GOULETTE,GAZOIL SANS SOUFRE,BEL AOUM,19-Oct,SOUSSE,BEL OUM,3110.088,1555.044,2
GOULETTE,GASOIL,M. HAYET PK156,19-Nov,MONASTIR,MENZEL EL HAYET,196984.004,1330.973,148
GOULETTE,APS AGILIX PREMIUM ESS.,DEN DEN ,19-Oct,MANOUBA,DENDEN,5464.536,1821.512,3
ZARZIS,SSP SUPER SANS PLOMB,HAJEB EL AYOUN,19-Sep,KAIROUAN,HAJEB EL AYOUN,10012.434,1668.739,6
SKHIRA,SSP SUPER SANS PLOMB,BORJ EL AMRI,19-Sep,MANOUBA,BORJ EL AMRI,8343.695,1668.739,5
GOULETTE,GASOIL,OUERDANINE,19-Oct,MONASTIR,EL OUERDANINE,58562.812,1330.973,44
ZARZIS,SSP SUPER SANS PLOMB,Rte SIDI MANSOUR,19-Sep,SFAX,SFAX,11681.173,1668.739,7
GOULETTE,GASOIL,B.A.B KHELIFA,19-Sep,SFAX,BIR ALI BEN KHELIFA,19964.595,1330.973,15
GOULETTE,GASOIL,CHERARDA,19-Sep,KAIROUAN,CHERARDA,18633.622,1330.973,14
GOULETTE,SSP SUPER SANS PLOMB,KSOUR ESSEF 2,19-Sep,MAHDIA,KSOUR ESSAF,15018.651,1668.739,9
ZARZIS,GAZOIL SANS SOUFRE,SFAX GP1,19-Sep,SFAX,SFAX,3245.688,1622.844,2
SKHIRA,GASOIL,MEKNASSY,19-Oct,SIDI BOUZID,MEKNASSY,122449.516,1330.973,92
SKHIRA,GAZOIL SANS SOUFRE,MEKNASSY,19-Oct,SIDI BOUZID,MEKNASSY,32655.924,1555.044,21
GOULETTE,APS AGILIX PREMIUM ESS.,S. LAHED .S,19-Sep,SOUSSE,SOUSSE,7286.048,1821.512,4
BIZERTE CARBURANT,GASOIL,BEN AROUS MC 34,19-Jul,BEN AROUS,BEN AROUS,39929.19,1330.973,30
GOULETTE,APS AGILIX PREMIUM ESS.,BEN AROUS MC 34,19-Oct,BEN AROUS,BEN AROUS,7286.048,1821.512,4
SKHIRA,SSP SUPER SANS PLOMB,REGUEB,19-Oct,SIDI BOUZID,ERREGUEB,45055.953,1668.739,27
SKHIRA,GAZOIL SANS SOUFRE,Rte DE L'AEROPORT KM 9 ,19-Oct,SFAX,SFAX,73087.068,1555.044,47
SKHIRA,GASOIL,TOZEUR VILLE,19-Oct,TOZEUR,TOZEUR,147738.003,1330.973,111
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,BORJ EL AMRI,19-Jul,MANOUBA,BORJ EL AMRI,6220.176,1555.044,4
SKHIRA,GASOIL,SIDI BOUZID,19-Oct,SIDI BOUZID,SIDI BOUZID,290152.114,1330.973,218
SKHIRA,GASOIL,CITE EL HABIB - SFAX GPL,19-Oct,SFAX,SFAX,235582.221,1330.973,177
SKHIRA,GASOIL,TOZEUR ,19-Oct,TOZEUR,TOZEUR,169033.571,1330.973,127
SKHIRA,GAZOIL SANS SOUFRE,EL FAOUR,19-Oct,KEBILI,ELFAOUAR,23325.66,1555.044,15
SKHIRA,GASOIL,REJICHE,19-Oct,MAHDIA,REJICHE,85182.272,1330.973,64
SKHIRA,GASOIL,B.A.B KHELIFA,19-Oct,SFAX,BIR ALI BEN KHELIFA,173026.49,1330.973,130
SKHIRA,SSP SUPER SANS PLOMB,EL FAOUR,19-Oct,KEBILI,ELFAOUAR,40049.736,1668.739,24
GOULETTE,GAZOIL SANS SOUFRE,OUERDANINE,19-Oct,MONASTIR,EL OUERDANINE,6220.176,1555.044,4
SKHIRA,GASOIL,SIDI AICH,19-Oct,GAFSA,SIDI IICH,55900.866,1330.973,42
SKHIRA,GAZOIL SANS SOUFRE,NAFTA,19-Oct,TOZEUR,NEFTA,34210.968,1555.044,22
GOULETTE,GAZOIL SANS SOUFRE,DJEBEL JELLOUD,19-Nov,TUNIS,JEBEL JELLOUD,35766.012,1555.044,23
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,S. KHELIFA pk72 ,19-Nov,SOUSSE,SIDI KHLIFA,65311.848,1555.044,42
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,CITE OLYMPIQUE,19-Nov,TUNIS,CITE ELKHADRA,164834.664,1555.044,106
GOULETTE,GASOIL,BEN AROUS MC 34,19-Nov,BEN AROUS,BEN AROUS,370010.494,1330.973,278
GOULETTE,SSP SUPER SANS PLOMB,KORBA,19-Nov,NABEUL,KORBA,266998.24,1668.739,160
GOULETTE,GASOIL,JENDOUBA GP17,19-Nov,JENDOUBA,JENDOUBA,69210.596,1330.973,52
GOULETTE,GASOIL,MNIHLA 2,19-Nov,ARIANA,M'NIHLA,219610.545,1330.973,165
GOULETTE,SSP SUPER SANS PLOMB,HAMMAM SOUSSE,19-Nov,SOUSSE,HAMMAM SOUSSE,443884.574,1668.739,266
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,FOUCHANA,19-Nov,BEN AROUS,FOUCHANA,7775.22,1555.044,5
SKHIRA,GASOIL,SIDGHEYNE,19-Oct,MEDENINE,HOUMT SOUK,46584.055,1330.973,35
SKHIRA,GASOIL,MEDNINE,19-Oct,MEDENINE,MEDENINE,42591.136,1330.973,32
ZARZIS,GASOIL,TATAOUINE,19-Nov,TATAOUINE,TATAOUINE,134428.273,1330.973,101
ZARZIS,GAZOIL SANS SOUFRE,TATAOUINE,19-Nov,TATAOUINE,TATAOUINE,46651.32,1555.044,30
SKHIRA,GASOIL,ZARZIS,19-Oct,MEDENINE,ZARZIS,34605.298,1330.973,26
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,RAF RAF,19-Nov,BIZERTE,RAF RAF,31100.88,1555.044,20
GOULETTE,GAZOIL SANS SOUFRE,EL MOUROUJ 3,19-Nov,BEN AROUS,BIR EL KASSAA,69976.98,1555.044,45
GOULETTE,GAZOIL SANS SOUFRE,MNIHLA,19-Nov,ARIANA,M'NIHLA,27990.792,1555.044,18
GOULETTE,GASOIL,EL MOUROUJ,19-Nov,BEN AROUS,BIR EL KASSAA,311447.682,1330.973,234
GOULETTE,GASOIL,EL FAHS,19-Nov,ZAGHOUAN,EL FAHS,441883.036,1330.973,332
GOULETTE,GASOIL,AV REPUBLIQUE,19-Dec,TUNIS,TUNIS VILLE,147738.003,1330.973,111
GOULETTE,GASOIL,HAFFOUZ,19-Nov,KAIROUAN,HAFFOUZ,214286.653,1330.973,161
GOULETTE,GAZOIL SANS SOUFRE,M.DAR BEL OUER,19-Nov,SOUSSE,MENZEL DAR BEL OUAER,20215.572,1555.044,13
GOULETTE,GAZOIL SANS SOUFRE,KANTAOUI,19-Dec,SOUSSE,HAMMAM SOUSSE,77752.2,1555.044,50
ZARZIS,GAZOIL SANS SOUFRE,EL KANTRA,19-Nov,MEDENINE,ZARZIS,37321.056,1555.044,24
ZARZIS,GASOIL,TATAOUINE 2,19-Nov,TATAOUINE,TATAOUINE,86513.245,1330.973,65
GOULETTE,SSP SUPER SANS PLOMB,EZZOUHOUR,19-Dec,TUNIS,EZZOUHOUR,308716.715,1668.739,185
SKHIRA,GAZOIL SANS SOUFRE,MEDNINE,19-Oct,MEDENINE,MEDENINE,9330.264,1555.044,6
GOULETTE,GASOIL,SIDI ALOUENE,19-Nov,MAHDIA,SIDI ALOUANE,26619.46,1330.973,20
GOULETTE,GAZOIL SANS SOUFRE,ARIANA,19-Nov,ARIANA,ARIANA,71532.024,1555.044,46
GOULETTE,GAZOIL SANS SOUFRE,GROMBALIA,19-Dec,NABEUL,GROMBALIA,88637.508,1555.044,57
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,GRIAAT N. PK29,19-Nov,BEJA,MEDJEZ EL BAB,24880.704,1555.044,16
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,OUCHTATA,19-Nov,BEJA,OUECHTATA,31706.041,1668.739,19
GOULETTE,SSP SUPER SANS PLOMB,EL MRAZKA,19-Nov,NABEUL,HAMMAMET,255317.067,1668.739,153
GOULETTE,SSP SUPER SANS PLOMB,AV MOHAMED 5,19-Nov,TUNIS,TUNIS VILLE,335416.539,1668.739,201
GOULETTE,SSP SUPER SANS PLOMB,EL MOUROUJ 3,19-Dec,BEN AROUS,BIR EL KASSAA,402166.099,1668.739,241
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,BEN AROUS MC 34,19-Nov,BEN AROUS,BEN AROUS,29545.836,1555.044,19
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,SAHLOUL,19-Nov,SOUSSE,SOUSSE,17105.484,1555.044,11
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,MONASTIR,19-Nov,MONASTIR,MONASTIR,34210.968,1555.044,22
GOULETTE,SSP SUPER SANS PLOMB,BIR MCHERGA,19-Dec,ZAGHOUAN,BIR MCHERGUA,138505.337,1668.739,83
GOULETTE,GAZOIL SANS SOUFRE,EL BATEN,19-Nov,KAIROUAN,EL BATEN,12440.352,1555.044,8
GOULETTE,SSP SUPER SANS PLOMB,SIDI BENNOUR,19-Dec,MONASTIR,SIDI BEN NOUR,141842.815,1668.739,85
GOULETTE,GASOIL,EL MRAZKA,19-Dec,NABEUL,HAMMAMET,142414.111,1330.973,107
GOULETTE,APG AGILIX PREMIUM GAS.,FOUCHANA,19-Nov,BEN AROUS,FOUCHANA,5121.24,1707.08,3
GOULETTE,SSP SUPER SANS PLOMB,SIDI BOUSAID,19-Dec,TUNIS,SIDI BOUSAID,298704.281,1668.739,179
GOULETTE,APS AGILIX PREMIUM ESS.,NABEUL,19-Nov,NABEUL,NABEUL,5464.536,1821.512,3
BIZERTE CARBURANT,GASOIL,ZARZOUNA,19-Dec,BIZERTE,ZARZOUNA,141083.138,1330.973,106
