,NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),prixHT,lag1_previous_quantity,lag2_previous_quantity,lag3_previous_quantity,lag4_previous_quantity,lag5_previous_quantity,SUM(QTEPRD)
6187,SKHIRA,GASOIL 50,AGAREB,2018-11-01,SFAX,AGAREB,41715.044,1489.823,30.0,33.0,9.0,36.0,38.0,28.0
7601,BIZERTE CARBURANT,GASOIL 50,AGAREB,2018-11-01,SFAX,AGAREB,4469.469,1489.823,28.0,30.0,33.0,9.0,36.0,3.0
13088,ZARZIS,GASOIL 50,AGAREB,2018-11-01,SFAX,AGAREB,8938.938,1489.823,3.0,28.0,30.0,33.0,9.0,6.0
15322,SKHIRA,GASOIL 50,AGAREB,2018-12-01,SFAX,AGAREB,59572.211,1489.3052750000002,6.0,3.0,28.0,30.0,33.0,40.0
15366,SKHIRA,GASOIL 50,AGAREB,2019-01-01,SFAX,AGAREB,47623.36,1488.23,40.0,6.0,3.0,28.0,30.0,32.0
3087,BIZERTE CARBURANT,GASOIL 50,AGAREB,2019-01-01,SFAX,AGAREB,5952.92,1488.23,32.0,40.0,6.0,3.0,28.0,4.0
847,SKHIRA,GASOIL 50,AGAREB,2019-02-01,SFAX,AGAREB,47623.36,1488.23,4.0,32.0,40.0,6.0,3.0,32.0
18744,SKHIRA,GAZOIL SANS SOUFRE,AGAREB,2019-03-01,SFAX,AGAREB,46135.13,1488.23,0.0,0.0,0.0,0.0,0.0,31.0
924,SKHIRA,GAZOIL SANS SOUFRE,AGAREB,2019-04-01,SFAX,AGAREB,54503.995,1557.257,31.0,0.0,0.0,0.0,0.0,35.0
9212,SKHIRA,GAZOIL SANS SOUFRE,AGAREB,2019-05-01,SFAX,AGAREB,54503.995,1557.257,35.0,31.0,0.0,0.0,0.0,35.0
14791,SKHIRA,GAZOIL SANS SOUFRE,AGAREB,2019-06-01,SFAX,AGAREB,10900.799,1557.257,35.0,35.0,31.0,0.0,0.0,7.0
8285,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2018-01-01,SFAX,AGAREB,39186.288,1451.344,0.0,0.0,0.0,0.0,0.0,27.0
17767,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2018-02-01,SFAX,AGAREB,43540.32,1451.344,27.0,0.0,0.0,0.0,0.0,30.0
4204,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2018-03-01,SFAX,AGAREB,42088.976,1451.344,30.0,27.0,0.0,0.0,0.0,29.0
2936,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2018-04-01,SFAX,AGAREB,38827.386,1493.3609999999999,29.0,30.0,27.0,0.0,0.0,26.0
11206,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2018-05-01,SFAX,AGAREB,37334.025,1493.361,26.0,29.0,30.0,27.0,0.0,25.0
567,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2018-06-01,SFAX,AGAREB,39268.561,1510.3292692307693,25.0,26.0,29.0,30.0,27.0,26.0
16745,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2018-07-01,SFAX,AGAREB,46691.58,1556.386,26.0,25.0,26.0,29.0,30.0,30.0
4564,GOULETTE,SSP SUPER SANS PLOMB,AGAREB,2018-07-01,SFAX,AGAREB,6225.544,1556.386,30.0,26.0,25.0,26.0,29.0,4.0
7367,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2018-08-01,SFAX,AGAREB,96495.932,1556.386,4.0,30.0,26.0,25.0,26.0,62.0
16902,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AGAREB,2018-08-01,SFAX,AGAREB,12451.088,1556.386,62.0,4.0,30.0,26.0,25.0,8.0
3328,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2018-09-01,SFAX,AGAREB,56137.403,1603.9258,8.0,62.0,4.0,30.0,26.0,35.0
6112,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2018-10-01,SFAX,AGAREB,35349.754,1606.807,35.0,8.0,62.0,4.0,30.0,22.0
10321,GOULETTE,SSP SUPER SANS PLOMB,AGAREB,2018-10-01,SFAX,AGAREB,4820.421,1606.807,22.0,35.0,8.0,62.0,4.0,3.0
15777,ZARZIS,SSP SUPER SANS PLOMB,AGAREB,2018-11-01,SFAX,AGAREB,4820.421,1606.807,3.0,22.0,35.0,8.0,62.0,3.0
19713,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2018-11-01,SFAX,AGAREB,28922.526,1606.807,3.0,3.0,22.0,35.0,8.0,18.0
4382,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2018-12-01,SFAX,AGAREB,53003.449,1606.1651212121212,18.0,3.0,3.0,22.0,35.0,33.0
3545,GOULETTE,SSP SUPER SANS PLOMB,AGAREB,2019-01-01,SFAX,AGAREB,6421.176,1605.294,33.0,18.0,3.0,3.0,22.0,4.0
5819,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2019-01-01,SFAX,AGAREB,41737.644,1605.294,4.0,33.0,18.0,3.0,3.0,26.0
10457,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2019-02-01,SFAX,AGAREB,48158.82,1605.294,26.0,4.0,33.0,18.0,3.0,30.0
20052,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2019-03-01,SFAX,AGAREB,52974.702,1605.2939999999999,30.0,26.0,4.0,33.0,18.0,33.0
3647,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2019-04-01,SFAX,AGAREB,63491.92,1670.84,33.0,30.0,26.0,4.0,33.0,38.0
21342,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2019-05-01,SFAX,AGAREB,50125.2,1670.84,38.0,33.0,30.0,26.0,4.0,30.0
14790,SKHIRA,SSP SUPER SANS PLOMB,AGAREB,2019-06-01,SFAX,AGAREB,13366.72,1670.84,30.0,38.0,33.0,30.0,26.0,8.0
13705,GOULETTE,GASOIL,AMDOUN,2018-01-01,BEJA,AMDOUN,146867.896,1079.911,0.0,0.0,0.0,0.0,0.0,136.0
17742,GOULETTE,GASOIL,AMDOUN,2018-02-01,BEJA,AMDOUN,58315.194,1079.911,136.0,0.0,0.0,0.0,0.0,54.0
19139,GOULETTE,GASOIL,AMDOUN,2018-02-01,BEJA,AMDOUN,45356.262,1079.911,54.0,136.0,0.0,0.0,0.0,42.0
12503,BIZERTE CARBURANT,GASOIL,AMDOUN,2018-03-01,BEJA,AMDOUN,10799.11,1079.911,42.0,54.0,136.0,0.0,0.0,10.0
11130,GOULETTE,GASOIL,AMDOUN,2018-03-01,BEJA,AMDOUN,123109.854,1079.911,10.0,42.0,54.0,136.0,0.0,114.0
9767,BIZERTE CARBURANT,GASOIL,AMDOUN,2018-04-01,BEJA,AMDOUN,24731.498,1124.1589999999999,114.0,10.0,42.0,54.0,136.0,22.0
11182,GOULETTE,GASOIL,AMDOUN,2018-04-01,BEJA,AMDOUN,83187.766,1124.159,22.0,114.0,10.0,42.0,54.0,74.0
1603,GOULETTE,GASOIL,AMDOUN,2018-05-01,BEJA,AMDOUN,152885.624,1124.159,74.0,22.0,114.0,10.0,42.0,136.0
