,NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),prixHT,lag1_previous_quantity,lag2_previous_quantity,lag3_previous_quantity,lag4_previous_quantity,lag5_previous_quantity,SUM(QTEPRD)
14214,SKHIRA,SSP SUPER SANS PLOMB,BORJ EL AMRI,2018-08-01,MANOUBA,BORJ EL AMRI,21789.404,1556.386,95.0,94.0,4.0,3.0,22.0,14.0
16893,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BORJ EL AMRI,2018-08-01,MANOUBA,BORJ EL AMRI,24902.176,1556.386,14.0,95.0,94.0,4.0,3.0,16.0
12784,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2018-08-01,MANOUBA,BORJ EL AMRI,119841.722,1556.386,16.0,14.0,95.0,94.0,4.0,77.0
19544,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2018-09-01,MANOUBA,BORJ EL AMRI,136276.069,1603.2478705882352,77.0,16.0,14.0,95.0,94.0,85.0
2070,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BORJ EL AMRI,2018-09-01,MANOUBA,BORJ EL AMRI,6427.228,1606.807,85.0,77.0,16.0,14.0,95.0,4.0
21039,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2018-10-01,MANOUBA,BORJ EL AMRI,125330.946,1606.807,4.0,85.0,77.0,16.0,14.0,78.0
7578,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BORJ EL AMRI,2018-10-01,MANOUBA,BORJ EL AMRI,17674.877,1606.807,78.0,4.0,85.0,77.0,16.0,11.0
747,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BORJ EL AMRI,2018-11-01,MANOUBA,BORJ EL AMRI,16068.07,1606.807,11.0,78.0,4.0,85.0,77.0,10.0
8513,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2018-11-01,MANOUBA,BORJ EL AMRI,112476.49,1606.807,10.0,11.0,78.0,4.0,85.0,70.0
7689,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BORJ EL AMRI,2018-12-01,MANOUBA,BORJ EL AMRI,14461.263,1606.807,70.0,10.0,11.0,78.0,4.0,9.0
5728,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2018-12-01,MANOUBA,BORJ EL AMRI,125288.582,1606.2638717948716,9.0,70.0,10.0,11.0,78.0,78.0
19467,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-01-01,MANOUBA,BORJ EL AMRI,8026.47,1605.294,78.0,9.0,70.0,10.0,11.0,5.0
3520,SKHIRA,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-01-01,MANOUBA,BORJ EL AMRI,30500.586,1605.2939999999999,5.0,78.0,9.0,70.0,10.0,19.0
10034,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-01-01,MANOUBA,BORJ EL AMRI,83475.288,1605.294,19.0,5.0,78.0,9.0,70.0,52.0
10477,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-02-01,MANOUBA,BORJ EL AMRI,4815.882,1605.2939999999999,52.0,19.0,5.0,78.0,9.0,3.0
15814,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-02-01,MANOUBA,BORJ EL AMRI,118791.756,1605.2939999999999,3.0,52.0,19.0,5.0,78.0,74.0
21463,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-03-01,MANOUBA,BORJ EL AMRI,115581.168,1605.294,74.0,3.0,52.0,19.0,5.0,72.0
3753,SKHIRA,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-03-01,MANOUBA,BORJ EL AMRI,17658.234,1605.294,72.0,74.0,3.0,52.0,19.0,11.0
5647,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-04-01,MANOUBA,BORJ EL AMRI,148704.76,1670.8400000000001,11.0,72.0,74.0,3.0,52.0,89.0
21258,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-05-01,MANOUBA,BORJ EL AMRI,147033.92,1670.8400000000001,89.0,11.0,72.0,74.0,3.0,88.0
1035,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-05-01,MANOUBA,BORJ EL AMRI,10025.04,1670.8400000000001,88.0,89.0,11.0,72.0,74.0,6.0
16131,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-06-01,MANOUBA,BORJ EL AMRI,26733.44,1670.84,6.0,88.0,89.0,11.0,72.0,16.0
13182,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-06-01,MANOUBA,BORJ EL AMRI,126983.84,1670.84,16.0,6.0,88.0,89.0,11.0,76.0
16285,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-07-01,MANOUBA,BORJ EL AMRI,18356.129,1668.739,76.0,16.0,6.0,88.0,89.0,11.0
16167,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-07-01,MANOUBA,BORJ EL AMRI,146956.183,1669.9566249999998,11.0,76.0,16.0,6.0,88.0,88.0
1118,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-08-01,MANOUBA,BORJ EL AMRI,173548.856,1668.739,88.0,11.0,76.0,16.0,6.0,104.0
5301,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-08-01,MANOUBA,BORJ EL AMRI,8343.695,1668.739,104.0,88.0,11.0,76.0,16.0,5.0
10809,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-09-01,MANOUBA,BORJ EL AMRI,138505.337,1668.739,5.0,104.0,88.0,11.0,76.0,83.0
16247,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-09-01,MANOUBA,BORJ EL AMRI,20024.868,1668.7389999999998,83.0,5.0,104.0,88.0,11.0,12.0
6738,SKHIRA,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-09-01,MANOUBA,BORJ EL AMRI,8343.695,1668.739,12.0,83.0,5.0,104.0,88.0,5.0
13282,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-10-01,MANOUBA,BORJ EL AMRI,153523.988,1668.739,5.0,12.0,83.0,5.0,104.0,92.0
8197,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-11-01,MANOUBA,BORJ EL AMRI,150186.51,1668.739,92.0,5.0,12.0,83.0,5.0,90.0
8239,GOULETTE,SSP SUPER SANS PLOMB,BORJ EL AMRI,2019-12-01,MANOUBA,BORJ EL AMRI,156861.466,1668.7389999999998,90.0,92.0,5.0,12.0,83.0,94.0
16393,GOULETTE,GASOIL,BOU SALEM,2018-01-01,JENDOUBA,BOUSALEM,464361.73,1079.911,0.0,0.0,0.0,0.0,0.0,430.0
5498,BIZERTE CARBURANT,GASOIL,BOU SALEM,2018-01-01,JENDOUBA,BOUSALEM,17278.576,1079.911,430.0,0.0,0.0,0.0,0.0,16.0
19111,GOULETTE,GASOIL,BOU SALEM,2018-02-01,JENDOUBA,BOUSALEM,222461.666,1079.911,16.0,430.0,0.0,0.0,0.0,206.0
1376,GOULETTE,GASOIL,BOU SALEM,2018-02-01,JENDOUBA,BOUSALEM,151187.54,1079.911,206.0,16.0,430.0,0.0,0.0,140.0
16489,BIZERTE CARBURANT,GASOIL,BOU SALEM,2018-03-01,JENDOUBA,BOUSALEM,37796.885,1079.911,140.0,206.0,16.0,430.0,0.0,35.0
12475,SKHIRA,GASOIL,BOU SALEM,2018-03-01,JENDOUBA,BOUSALEM,28077.686,1079.911,35.0,140.0,206.0,16.0,430.0,26.0
19053,GOULETTE,GASOIL,BOU SALEM,2018-03-01,JENDOUBA,BOUSALEM,367169.74,1079.911,26.0,35.0,140.0,206.0,16.0,340.0
9904,SKHIRA,GASOIL,BOU SALEM,2018-04-01,JENDOUBA,BOUSALEM,15738.226,1124.159,340.0,26.0,35.0,140.0,206.0,14.0
11165,GOULETTE,GASOIL,BOU SALEM,2018-04-01,JENDOUBA,BOUSALEM,437297.851,1124.159,14.0,340.0,26.0,35.0,140.0,389.0
4328,GOULETTE,GASOIL,BOU SALEM,2018-05-01,JENDOUBA,BOUSALEM,390083.173,1124.159,389.0,14.0,340.0,26.0,35.0,347.0
11237,BIZERTE CARBURANT,GASOIL,BOU SALEM,2018-05-01,JENDOUBA,BOUSALEM,10117.431,1124.159,347.0,389.0,14.0,340.0,26.0,9.0
19600,GOULETTE,GASOIL,BOU SALEM,2018-06-01,JENDOUBA,BOUSALEM,463647.267,1144.8080666666667,9.0,347.0,389.0,14.0,340.0,405.0
11592,BIZERTE CARBURANT,GASOIL,BOU SALEM,2018-06-01,JENDOUBA,BOUSALEM,53038.754,1153.0163913043477,405.0,9.0,347.0,389.0,14.0,46.0
384,GOULETTE,GASOIL,BOU SALEM,2018-07-01,JENDOUBA,BOUSALEM,627409.837,1190.5310000000002,46.0,405.0,9.0,347.0,389.0,527.0
18396,SKHIRA,GASOIL,BOU SALEM,2018-08-01,JENDOUBA,BOUSALEM,21429.558,1190.531,527.0,46.0,405.0,9.0,347.0,18.0
19447,BIZERTE CARBURANT,GASOIL,BOU SALEM,2018-08-01,JENDOUBA,BOUSALEM,66669.736,1190.5310000000002,18.0,527.0,46.0,405.0,9.0,56.0
5931,GOULETTE,GASOIL,BOU SALEM,2018-08-01,JENDOUBA,BOUSALEM,554787.446,1190.531,56.0,18.0,527.0,46.0,405.0,466.0
21021,BIZERTE CARBURANT,GASOIL,BOU SALEM,2018-09-01,JENDOUBA,BOUSALEM,36450.187,1256.903,466.0,56.0,18.0,527.0,46.0,29.0
11507,GOULETTE,GASOIL,BOU SALEM,2018-09-01,JENDOUBA,BOUSALEM,539074.478,1253.661576744186,29.0,466.0,56.0,18.0,527.0,430.0
2033,BIZERTE CARBURANT,GASOIL,BOU SALEM,2018-10-01,JENDOUBA,BOUSALEM,20110.448,1256.903,430.0,29.0,466.0,56.0,18.0,16.0
4711,GOULETTE,GASOIL,BOU SALEM,2018-10-01,JENDOUBA,BOUSALEM,507788.812,1256.903,16.0,430.0,29.0,466.0,56.0,404.0
14398,BIZERTE CARBURANT,GASOIL,BOU SALEM,2018-11-01,JENDOUBA,BOUSALEM,21367.351,1256.903,404.0,16.0,430.0,29.0,466.0,17.0
7320,GOULETTE,GASOIL,BOU SALEM,2018-11-01,JENDOUBA,BOUSALEM,486421.461,1256.903,17.0,404.0,16.0,430.0,29.0,387.0
19770,BIZERTE CARBURANT,GASOIL,BOU SALEM,2018-12-01,JENDOUBA,BOUSALEM,51510.721,1256.3590487804877,387.0,17.0,404.0,16.0,430.0,41.0
5732,GOULETTE,GASOIL,BOU SALEM,2018-12-01,JENDOUBA,BOUSALEM,433469.049,1256.4320260869565,41.0,387.0,17.0,404.0,16.0,345.0
14456,BIZERTE CARBURANT,GASOIL,BOU SALEM,2019-01-01,JENDOUBA,BOUSALEM,26361.51,1255.31,345.0,41.0,387.0,17.0,404.0,21.0
1758,GOULETTE,GASOIL,BOU SALEM,2019-01-01,JENDOUBA,BOUSALEM,340189.01,1255.31,21.0,345.0,41.0,387.0,17.0,271.0
19847,BIZERTE CARBURANT,GASOIL,BOU SALEM,2019-02-01,JENDOUBA,BOUSALEM,20084.96,1255.31,271.0,21.0,345.0,41.0,387.0,16.0
17144,GOULETTE,GASOIL,BOU SALEM,2019-02-01,JENDOUBA,BOUSALEM,294997.85,1255.31,16.0,271.0,21.0,345.0,41.0,235.0
17386,GOULETTE,GASOIL,BOU SALEM,2019-03-01,JENDOUBA,BOUSALEM,346465.56,1255.31,235.0,16.0,271.0,21.0,345.0,276.0
10661,SKHIRA,GASOIL,BOU SALEM,2019-03-01,JENDOUBA,BOUSALEM,5021.24,1255.31,276.0,235.0,16.0,271.0,21.0,4.0
21286,GOULETTE,GASOIL,BOU SALEM,2019-04-01,JENDOUBA,BOUSALEM,381291.196,1333.186,4.0,276.0,235.0,16.0,271.0,286.0
20056,BIZERTE CARBURANT,GASOIL,BOU SALEM,2019-05-01,JENDOUBA,BOUSALEM,30663.278,1333.186,286.0,4.0,276.0,235.0,16.0,23.0
9162,GOULETTE,GASOIL,BOU SALEM,2019-05-01,JENDOUBA,BOUSALEM,369292.522,1333.186,23.0,286.0,4.0,276.0,235.0,277.0
19910,GOULETTE,GASOIL,BOU SALEM,2019-06-01,JENDOUBA,BOUSALEM,437285.008,1333.186,277.0,23.0,286.0,4.0,276.0,328.0
9423,GOULETTE,GASOIL,BOU SALEM,2019-07-01,JENDOUBA,BOUSALEM,591432.233,1332.0545788288289,328.0,277.0,23.0,286.0,4.0,444.0
6586,GOULETTE,GASOIL,BOU SALEM,2019-08-01,JENDOUBA,BOUSALEM,537713.092,1330.973,444.0,328.0,277.0,23.0,286.0,404.0
1102,GOULETTE,GASOIL,BOU SALEM,2019-09-01,JENDOUBA,BOUSALEM,460516.658,1330.973,404.0,444.0,328.0,277.0,23.0,346.0
6434,GOULETTE,GASOIL,BOU SALEM,2019-10-01,JENDOUBA,BOUSALEM,487136.118,1330.973,346.0,404.0,444.0,328.0,277.0,366.0
18980,GOULETTE,GASOIL,BOU SALEM,2019-11-01,JENDOUBA,BOUSALEM,479150.28,1330.9730000000002,366.0,346.0,404.0,444.0,328.0,360.0
17640,GOULETTE,GASOIL,BOU SALEM,2019-12-01,JENDOUBA,BOUSALEM,461847.631,1330.973,360.0,366.0,346.0,404.0,444.0,347.0
16387,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2018-01-01,JENDOUBA,BOUSALEM,86196.89,1326.106,0.0,0.0,0.0,0.0,0.0,65.0
4143,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2018-02-01,JENDOUBA,BOUSALEM,23869.908,1326.106,65.0,0.0,0.0,0.0,0.0,18.0
20453,SKHIRA,GASOIL 50,BOU SALEM,2018-02-01,JENDOUBA,BOUSALEM,41109.286,1326.106,18.0,65.0,0.0,0.0,0.0,31.0
13785,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2018-02-01,JENDOUBA,BOUSALEM,9282.742,1326.106,31.0,18.0,65.0,0.0,0.0,7.0
19174,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2018-03-01,JENDOUBA,BOUSALEM,95479.632,1326.106,7.0,31.0,18.0,65.0,0.0,72.0
5620,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2018-04-01,JENDOUBA,BOUSALEM,82221.24,1370.354,72.0,7.0,31.0,18.0,65.0,60.0
12579,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2018-05-01,JENDOUBA,BOUSALEM,90443.364,1370.354,60.0,72.0,7.0,31.0,18.0,66.0
8825,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2018-06-01,JENDOUBA,BOUSALEM,101496.026,1390.3565205479451,66.0,60.0,72.0,7.0,31.0,73.0
7207,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2018-07-01,JENDOUBA,BOUSALEM,110627.902,1436.726,73.0,66.0,60.0,72.0,7.0,77.0
4485,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2018-08-01,JENDOUBA,BOUSALEM,126431.888,1436.726,77.0,73.0,66.0,60.0,72.0,88.0
12891,SKHIRA,GASOIL 50,BOU SALEM,2018-08-01,JENDOUBA,BOUSALEM,7183.63,1436.726,88.0,77.0,73.0,66.0,60.0,5.0
20928,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2018-09-01,JENDOUBA,BOUSALEM,109875.223,1484.8003108108107,5.0,88.0,77.0,73.0,66.0,74.0
18324,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2018-10-01,JENDOUBA,BOUSALEM,67042.035,1489.823,74.0,5.0,88.0,77.0,73.0,45.0
690,SKHIRA,GASOIL 50,BOU SALEM,2018-10-01,JENDOUBA,BOUSALEM,28306.637,1489.8229999999999,45.0,74.0,5.0,88.0,77.0,19.0
8965,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2018-11-01,JENDOUBA,BOUSALEM,87899.557,1489.823,19.0,45.0,74.0,5.0,88.0,59.0
7177,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2018-12-01,JENDOUBA,BOUSALEM,104254.157,1489.3451,59.0,19.0,45.0,74.0,5.0,70.0
1707,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2019-01-01,JENDOUBA,BOUSALEM,92270.26,1488.23,70.0,59.0,19.0,45.0,74.0,62.0
4853,BIZERTE CARBURANT,GASOIL 50,BOU SALEM,2019-02-01,JENDOUBA,BOUSALEM,89293.8,1488.23,62.0,70.0,59.0,19.0,45.0,60.0
4923,GOULETTE,GASOIL 50,BOU SALEM,2019-04-01,JENDOUBA,BOUSALEM,96549.934,1557.2569999999998,60.0,62.0,70.0,59.0,19.0,62.0
2250,GOULETTE,GASOIL 50,BOU SALEM,2019-05-01,JENDOUBA,BOUSALEM,62290.28,1557.257,62.0,60.0,62.0,70.0,59.0,40.0
16071,BIZERTE CARBURANT,GAZOIL SANS SOUFRE,BOU SALEM,2019-03-01,JENDOUBA,BOUSALEM,83340.88,1488.23,0.0,0.0,0.0,0.0,0.0,56.0
17404,SKHIRA,GAZOIL SANS SOUFRE,BOU SALEM,2019-03-01,JENDOUBA,BOUSALEM,5952.92,1488.23,56.0,0.0,0.0,0.0,0.0,4.0
18721,BIZERTE CARBURANT,GAZOIL SANS SOUFRE,BOU SALEM,2019-05-01,JENDOUBA,BOUSALEM,6229.028,1557.257,4.0,56.0,0.0,0.0,0.0,4.0
9259,GOULETTE,GAZOIL SANS SOUFRE,BOU SALEM,2019-05-01,JENDOUBA,BOUSALEM,10900.799,1557.257,4.0,4.0,56.0,0.0,0.0,7.0
11853,GOULETTE,GAZOIL SANS SOUFRE,BOU SALEM,2019-06-01,JENDOUBA,BOUSALEM,101221.705,1557.257,7.0,4.0,4.0,56.0,0.0,65.0
2532,GOULETTE,GAZOIL SANS SOUFRE,BOU SALEM,2019-07-01,JENDOUBA,BOUSALEM,126040.445,1556.05487654321,65.0,7.0,4.0,4.0,56.0,81.0
9378,GOULETTE,GAZOIL SANS SOUFRE,BOU SALEM,2019-08-01,JENDOUBA,BOUSALEM,155504.4,1555.0439999999999,81.0,65.0,7.0,4.0,4.0,100.0
5135,GOULETTE,GAZOIL SANS SOUFRE,BOU SALEM,2019-09-01,JENDOUBA,BOUSALEM,124403.52,1555.044,100.0,81.0,65.0,7.0,4.0,80.0
13266,GOULETTE,GAZOIL SANS SOUFRE,BOU SALEM,2019-10-01,JENDOUBA,BOUSALEM,96412.728,1555.044,80.0,100.0,81.0,65.0,7.0,62.0
5378,GOULETTE,GAZOIL SANS SOUFRE,BOU SALEM,2019-11-01,JENDOUBA,BOUSALEM,102632.904,1555.0439999999999,62.0,80.0,100.0,81.0,65.0,66.0
2695,GOULETTE,GAZOIL SANS SOUFRE,BOU SALEM,2019-12-01,JENDOUBA,BOUSALEM,108853.08,1555.044,66.0,62.0,80.0,100.0,81.0,70.0
15050,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2018-01-01,JENDOUBA,BOUSALEM,148037.088,1451.3439999999998,0.0,0.0,0.0,0.0,0.0,102.0
4172,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BOU SALEM,2018-01-01,JENDOUBA,BOUSALEM,5805.376,1451.344,102.0,0.0,0.0,0.0,0.0,4.0
2819,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2018-02-01,JENDOUBA,BOUSALEM,81275.264,1451.3439999999998,4.0,102.0,0.0,0.0,0.0,56.0
10957,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2018-02-01,JENDOUBA,BOUSALEM,49345.696,1451.344,56.0,4.0,102.0,0.0,0.0,34.0
13815,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BOU SALEM,2018-03-01,JENDOUBA,BOUSALEM,7256.72,1451.344,34.0,56.0,4.0,102.0,0.0,5.0
6879,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2018-03-01,JENDOUBA,BOUSALEM,134974.992,1451.344,5.0,34.0,56.0,4.0,102.0,93.0
11109,SKHIRA,SSP SUPER SANS PLOMB,BOU SALEM,2018-03-01,JENDOUBA,BOUSALEM,8708.064,1451.344,93.0,5.0,34.0,56.0,4.0,6.0
7154,SKHIRA,SSP SUPER SANS PLOMB,BOU SALEM,2018-04-01,JENDOUBA,BOUSALEM,8960.166,1493.3609999999999,6.0,93.0,5.0,34.0,56.0,6.0
11166,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2018-04-01,JENDOUBA,BOUSALEM,147842.739,1493.361,6.0,6.0,93.0,5.0,34.0,99.0
13862,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2018-05-01,JENDOUBA,BOUSALEM,138882.573,1493.361,99.0,6.0,6.0,93.0,5.0,93.0
7489,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2018-06-01,JENDOUBA,BOUSALEM,159871.891,1508.2253867924528,93.0,99.0,6.0,6.0,93.0,106.0
11591,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BOU SALEM,2018-06-01,JENDOUBA,BOUSALEM,13629.324,1514.3693333333333,106.0,93.0,99.0,6.0,6.0,9.0
16728,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2018-07-01,JENDOUBA,BOUSALEM,174315.232,1556.386,9.0,106.0,93.0,99.0,6.0,112.0
14099,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BOU SALEM,2018-08-01,JENDOUBA,BOUSALEM,63811.826,1556.386,112.0,9.0,106.0,93.0,99.0,41.0
8852,SKHIRA,SSP SUPER SANS PLOMB,BOU SALEM,2018-08-01,JENDOUBA,BOUSALEM,12451.088,1556.386,41.0,112.0,9.0,106.0,93.0,8.0
16818,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2018-08-01,JENDOUBA,BOUSALEM,126067.266,1556.386,8.0,41.0,112.0,9.0,106.0,81.0
7433,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2018-09-01,JENDOUBA,BOUSALEM,169918.174,1603.001641509434,81.0,8.0,41.0,112.0,9.0,106.0
21090,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BOU SALEM,2018-10-01,JENDOUBA,BOUSALEM,11247.649,1606.807,106.0,81.0,8.0,41.0,112.0,7.0
14336,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2018-10-01,JENDOUBA,BOUSALEM,143005.823,1606.807,7.0,106.0,81.0,8.0,41.0,89.0
18451,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BOU SALEM,2018-11-01,JENDOUBA,BOUSALEM,6427.228,1606.807,89.0,7.0,106.0,81.0,8.0,4.0
7602,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2018-11-01,JENDOUBA,BOUSALEM,146219.437,1606.807,4.0,89.0,7.0,106.0,81.0,91.0
16644,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2018-12-01,JENDOUBA,BOUSALEM,146171.021,1606.274956043956,91.0,4.0,89.0,7.0,106.0,91.0
6225,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BOU SALEM,2018-12-01,JENDOUBA,BOUSALEM,19272.606,1606.0505,91.0,91.0,4.0,89.0,7.0,12.0
4459,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2019-01-01,JENDOUBA,BOUSALEM,126818.226,1605.2939999999999,12.0,91.0,91.0,4.0,89.0,79.0
21235,SKHIRA,SSP SUPER SANS PLOMB,BOU SALEM,2019-01-01,JENDOUBA,BOUSALEM,9631.764,1605.2939999999999,79.0,12.0,91.0,91.0,4.0,6.0
1792,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BOU SALEM,2019-01-01,JENDOUBA,BOUSALEM,14447.646,1605.294,6.0,79.0,12.0,91.0,91.0,9.0
10456,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BOU SALEM,2019-02-01,JENDOUBA,BOUSALEM,24079.41,1605.294,9.0,6.0,79.0,12.0,91.0,15.0
15787,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2019-02-01,JENDOUBA,BOUSALEM,117186.462,1605.294,15.0,9.0,6.0,79.0,12.0,73.0
21459,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2019-03-01,JENDOUBA,BOUSALEM,141265.872,1605.294,73.0,15.0,9.0,6.0,79.0,88.0
3796,SKHIRA,SSP SUPER SANS PLOMB,BOU SALEM,2019-03-01,JENDOUBA,BOUSALEM,27289.998,1605.2939999999999,88.0,73.0,15.0,9.0,6.0,17.0
9147,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2019-04-01,JENDOUBA,BOUSALEM,158729.8,1670.84,17.0,88.0,73.0,15.0,9.0,95.0
15901,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2019-05-01,JENDOUBA,BOUSALEM,125313.0,1670.84,95.0,17.0,88.0,73.0,15.0,75.0
2400,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BOU SALEM,2019-05-01,JENDOUBA,BOUSALEM,8354.2,1670.8400000000001,75.0,95.0,17.0,88.0,73.0,5.0
9159,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2019-06-01,JENDOUBA,BOUSALEM,168754.84,1670.84,5.0,75.0,95.0,17.0,88.0,101.0
3883,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2019-07-01,JENDOUBA,BOUSALEM,197026.757,1669.718279661017,101.0,5.0,75.0,95.0,17.0,118.0
21524,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2019-08-01,JENDOUBA,BOUSALEM,253648.328,1668.739,118.0,101.0,5.0,75.0,95.0,152.0
5314,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2019-09-01,JENDOUBA,BOUSALEM,170211.378,1668.739,152.0,118.0,101.0,5.0,75.0,102.0
12050,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,BOU SALEM,2019-09-01,JENDOUBA,BOUSALEM,13349.912,1668.739,102.0,152.0,118.0,101.0,5.0,8.0
21359,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2019-10-01,JENDOUBA,BOUSALEM,153523.988,1668.739,8.0,102.0,152.0,118.0,101.0,92.0
9534,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2019-11-01,JENDOUBA,BOUSALEM,161867.683,1668.7389999999998,92.0,8.0,102.0,152.0,118.0,97.0
9561,GOULETTE,SSP SUPER SANS PLOMB,BOU SALEM,2019-12-01,JENDOUBA,BOUSALEM,178555.073,1668.739,97.0,92.0,8.0,102.0,152.0,107.0
9678,GOULETTE,GASOIL,BOUARADA,2018-01-01,SILIANA,BOUARADA,213822.378,1079.911,0.0,0.0,0.0,0.0,0.0,198.0
5530,GOULETTE,GASOIL,BOUARADA,2018-02-01,SILIANA,BOUARADA,103671.456,1079.911,198.0,0.0,0.0,0.0,0.0,96.0
6903,GOULETTE,GASOIL,BOUARADA,2018-02-01,SILIANA,BOUARADA,59395.105,1079.911,96.0,198.0,0.0,0.0,0.0,55.0
7027,BIZERTE CARBURANT,GASOIL,BOUARADA,2018-03-01,SILIANA,BOUARADA,6479.466,1079.911,55.0,96.0,198.0,0.0,0.0,6.0
5582,GOULETTE,GASOIL,BOUARADA,2018-03-01,SILIANA,BOUARADA,120950.032,1079.911,6.0,55.0,96.0,198.0,0.0,112.0
15222,BIZERTE CARBURANT,GASOIL,BOUARADA,2018-04-01,SILIANA,BOUARADA,22483.18,1124.159,112.0,6.0,55.0,96.0,198.0,20.0
