,CODGVR,CODLOC,LIBLOC,key
448,15,1,MONASTIR,1_15
466,17,9,LOUZA,9_17
470,14,1,ENFIDAVILLE,1_14
473,5,34,NADOUR,34_5
476,19,81,HASOUA,81_19
481,18,22,SIDI IICH,22_18
487,12,19,FERIANA,19_12
490,13,18,OULED HAFFOUZ,18_13
491,6,3,MENZEL  JEMIL,3_6
523,2,14,MANOUBA,14_2
531,2,53,MORNAGUIA,53_2
532,2,5,TEBOURBA,5_2
556,18,69,KAF CHFAIER,69_18
587,17,5,HENCHA,5_17
589,2,39,OUED ELLIL,39_2
593,23,62,REMADA,62_23
595,6,80,61 REGIMENT DE GENIE,80_6
601,8,9,AIN DRAHEM,9_8
605,13,48,EL MAZZOUNA,48_13
610,4,22,SOLIMAN,22_4
616,18,71,JALLABIA,71_18
617,8,22,BOUSALEM,22_8
647,23,50,EL MORRA,50_23
651,18,38,REDAYEF,38_18
659,21,5,OUEDHREF,5_21
660,17,29,TINA,29_17
670,21,49,MARETH,49_21
674,17,13,EL AMRA,13_17
679,11,55,CHEBIKA,55_11
691,1,48,MONTFLEURY,48_1
694,19,46,NEFTA,46_19
711,22,22,EL KANTRA,22_22
716,24,10,MORNAGUIA,10_24
738,22,1,HOUMT SOUK,1_22
741,11,54,EL BATEN,54_11
755,1,12,SEDJOUMI,12_1
762,15,16,MENZEL EL HAYET,16_15
767,20,16,JANHOURA,16_20
775,21,40,MATMATA,40_21
777,9,62,EL KSOUR,62_9
786,22,16,BOUGHRARA,16_22
790,7,58,THIBAR,58_7
820,21,75,EL AOUINET,75_21
831,13,21,FAIEDH,21_13
839,11,29,MENZEL M'HIRI,29_11
844,18,42,METLAOUI,42_18
845,4,38,BENI KHIAR,38_4
846,10,35,MAKTHAR,35_10
866,6,38,SEJNENE,38_6
869,6,62,KHETMINE,62_6
879,21,4,METOUIA,4_21
893,1,50,JEBEL JELLOUD,50_1
907,10,48,ROUHIA,48_10
908,16,15,SIDI ALOUANE,15_16
915,3,53,EL MOUROUJ,53_3
924,2,61,BORJ LOUZIR,61_2
934,4,48,DAR ALLOUCHE,48_4
997,6,42,ZHENA,42_6
1002,11,53,HAFFOUZ,53_11
1062,17,74,SIDI SALAH,74_17
1088,9,8,DAHMANI,8_9
1090,17,34,MERKEZ ABBES,34_17
1128,9,15,TAJEROUINE,15_9
1131,19,45,DEGACHE,45_19
1132,23,65,EL BORMA,65_23
1135,1,66,LE KRAM,66_1
1144,21,47,EZZARAT,47_21
1179,10,14,SIDI BOU ROUIS,14_10
1186,22,8,AJIM,8_22
1201,15,19,JAMMEL,19_15
1207,7,32,GOUBELLAT,32_7
1225,6,4,METLINE,4_6
1231,13,12,CABELET OUELED ASKER,12_13
1255,2,10,KALAAT EL ANDALOUS,10_2
1276,9,18,KALAAT  SENAN,18_9
1289,23,93,OUED ZAR HAMMOUDA,93_23
1294,3,54,MEGRINE,54_3
1319,17,16,BOUJARBOU,16_17
1342,14,11,CHOTT MARIEM,11_14
1383,18,64,SEHIB,64_18
1404,15,2,SAHLINE,2_15
1423,15,5,MESJED AISSA,5_15
1425,15,27,SIDI BEN NOUR,27_15
1434,22,96,HASSI AMOR,96_22
1452,1,42,BAB ALIOUA,42_1
1484,4,23,FONDOK DJEDID,23_4
1522,2,9,BORJ EL AMRI,9_2
1523,23,69,THIARET,69_23
1532,4,44,SIDI DAOUD,44_4
1550,22,99,BENI KHEDACHE,99_22
1560,17,37,SAKIET ED-DAIER,37_17
1578,1,63,BERGES DU LAC,63_1
1598,16,30,BOUMARDES,30_16
1612,18,48,M'DHILLA,48_18
1615,23,97,BIR AMIR,97_23
1618,16,51,MENZEL HACHED,51_16
1674,6,50,ZEOUAOUINE,50_6
1683,11,15,REGUADA,15_11
1710,1,57,BELVEDERE,57_1
1715,20,33,ELFAOUAR,33_20
1764,22,83,MIDOUNE,83_22
1819,2,8,MORNAGUIA,8_2
1828,4,70,BORJ HFAIEDH,70_4
1837,21,72,BEN GHILOUF,72_21
1840,17,46,BIR ALI BEN KHELIFA,46_17
1899,6,71,ECOLE DES S.OFFICIER,71_6
1953,4,53,OUED ABID,53_4
1957,10,42,KESRA,42_10
1986,15,35,KSIBET EL MADIOUNI,35_15
1990,23,68,KAMMOUR,68_23
2005,17,70,CHAAL,70_17
2061,17,58,MELLITA KERKENNAH,58_17
2072,11,28,SIDI ALI BEN NASRALL,28_11
2182,13,34,EL HICHERI,34_13
2221,10,10,EL KRIB,10_10
2248,17,11,HZEG,11_17
2257,13,39,SOUK DJEDID,39_13
2294,14,19,KALAA SGHIRA,19_14
2365,4,15,TAKELSA,15_4
2396,17,39,SIDI MANSOUR,39_17
2428,8,26,BALTA,26_8
2497,12,76,THELEPTE,76_12
2570,11,4,SBIKHA,4_11
2578,17,65,EL ATAYA(KERKENNAH),65_17
2615,6,72,B.A KHARROUBA,72_6
2661,15,31,SAYADA,31_15
2669,3,44,EZZAHRA,44_3
2744,7,29,TESTOUR,29_7
2770,17,77,BOUSLIM,77_17
2836,8,8,BEN BECHIR,8_8
2845,8,15,FERNANA,15_8
2908,13,51,ESSAIDA,51_13
3022,17,80,EZZITOUNA,80_17
3055,1,82,ZAHROUNI,82_1
3073,15,29,BEKALTA,29_15
3104,8,57,OUED MELLIZ,57_8
3161,17,75,GREMDA,75_17
3191,6,74,E.T.A.T,74_6
3242,4,20,MENZEL BOUZELFA,20_4
3265,15,37,BOUHJAR,37_15
3300,2,15,A definir,15_2
3398,3,40,OUDHNA,40_3
3440,3,99,FONDOUK CHOUCHA,99_3
3506,15,33,BENNENE,33_15
3546,4,40,TAZARKA,40_4
3562,14,29,AKOUDA,29_14
3575,9,22,KALAAT DJERDA KHASBA,22_9
3618,24,12,FEJJA,12_24
3673,18,36,SIDI BOUBAKER,36_18
3728,17,93,LIMAYA,93_17
3770,2,74,DENDEN,74_2
3866,6,18,JOUMINE,18_6
3919,23,34,GHOMRASSEN,34_23
4016,14,59,BEL OUM,59_14
4035,1,11,LA MARSA,11_1
4129,12,59,EDDOULEB,59_12
4131,4,74,KERKOUANE,74_4
4234,20,19,JEMNA,19_20
4312,9,4,SAKIET SIDI YOUSSEF,4_9
4319,20,57,SAIDANE,57_20
4335,1,10,EL ATTAR,10_1
4349,15,23,BENI HASSEN,23_15
4603,17,17,BOUTHADI,17_17
4623,13,2,BATEN EL GHAZEL,2_13
4680,6,81,G.F.F ROUMMADIA,81_6
4884,2,4,JEDAIDA,4_2
4950,7,38,TEBOURSOUK,38_7
4983,2,41,SOUKRA,41_2
5029,7,60,NEFZA,60_7
5092,23,85,BAGUEL,85_23
5137,4,17,MENZEL HORR,17_4
5693,17,68,CHIHIA,68_17
5793,1,51,SIDI FATHALLAH,51_1
5901,2,38,BEJAOUA,38_2
5928,6,7,RAF RAF,7_6
5978,4,69,EZZAOUIA,69_4
6050,1,59,EL MENZAH,59_1
6265,16,31,KERKER,31_16
6328,6,78,51 R.A.A,78_6
6367,12,3,HAIDRA,3_12
6622,4,28,TURKI,28_4
6695,1,44,LA KASBA,44_1
6714,18,1,MZINDA,1_18
6804,17,28,GARGOUR,28_17
6969,18,73,KEF EDDOUR OUEST,73_18
