CODLOC,LIBLOC
14,KALAA KBIRA
4,METLINE
27,HAMMAM SOUSSE
37,TATAOUINE
83,EZZOUHOUR
19,MOHAMADIA
72,B.A KHARROUBA
61,BORJ LOUZIR
1,MZINDA
61,KERKENAH
86,NAKTA
50,LE SERS
50,SOUK HBIRA
72,MAJEL DRAJ
34,GHOMRASSEN
31,KERKER
65,EL BORMA
77,BOUSLIM
75,B.A JBEL EL KBIR
68,BELLI
16,BOUJARBOU
3,HAIDRA
21,SIDI AMOR BOUHAJLA
44,EZZAHRA
39,EL AYOUN
1,CHEBBA
37,SAKIET ED-DAIER
95,KOUTINE
44,TOZEUR
53,EL MOUROUJ
19,JAMMEL
75,DOUAR HICHER
1,MANNOUBA
7,GAAFOUR
40,SIDI BOUSAID
74,DENDEN
74,E.T.A.T
37,KETTANA
38,EL BDARNA
49,DUBOSVILLE
18,EL MIDA
19,JEMNA
15,KEBILI
81,SIDI SMAIL
12,OUM ESSOUMAA
26,BALTA
31,SAYADA
35,EL JEM
71,ECOLE DES S.OFFICIER
76,THELEPTE
97,BIR AMIR
15,MENZEL BOURGUIBA
48,ROUHIA
15,A definir
8,AJIM
49,EL HECHIM
10,KELIBIA
24,BENI-KHALED
6,MENZEL DAR BEL OUAER
51,SIDI FATHALLAH
12,SEDJOUMI
25,HAMMAM ZRIBA
32,GOUBELLAT
96,KSAR GHILANE
17,BOUTHADI
8,BEN BECHIR
77,ACADEMIE NATIONALE
35,MAKTHAR
34,NADOUR
49,KSAR MHIRA
91,M'NIHLA
8,HERGLA
13,BIR MCHERGUA
48,M'DHILLA
69,THIARET
50,ZEOUAOUINE
13,KONDAR
4,CHEOUIGUI
3,TEBOURBA
94,CEBALET B AMMAR
16,MENZEL EL HAYET
11,FEJJA
30,AGAREB
74,SIDI SALAH
5,LE KEF
1,GABES
51,SIDI SAAD
43,TUNIS VILLE
72,BEN GHILOUF
53,HAFFOUZ
38,BENI KHIAR
37,ZAGHOUAN
14,MEDENINE
53,MORNAGUIA
20,MENZEL BOUZELFA
75,EL AOUINET
44,OULED CHAMEKH
40,MATMATA
7,KHENIS
95,BIR LAHMAR
21,SIDI EL HENI
31,SILIANA
63,BERGES DU LAC
38,BOUFICHA
40,OUDHNA
17,MATEUR
62,KHETMINE
7,RAF RAF
40,MENZEL BOUZAIENE
33,BENNENE
42,ZHENA
18,JOUMINE
4,SAKIET SIDI YOUSSEF
38,SEJNENE
42,METLAOUI
34,BOURJINE
29,TINA
45,GHREIBA
18,KALAAT  SENAN
58,THIBAR
13,EL AMRA
64,SEHIB
22,EL KANTRA
13,KAIROUAN
63,CHOTRANA
5,HENCHA
41,CHEBIKA
34,BIR BOURAGBA
30,BOUMARDES
81,MELLASINE
9,LOUZA
11,HZEG
57,SLOUGUIA
28,GARGOUR
58,JBEL EL KEBIR
29,BEN AOUN
6,AZMOUR
47,EZZARAT
14,MANOUBA
81,ENNAOURA
21,MORNAG
54,EL BATEN
9,SIDI BOU ALI
35,KSIBET EL MADIOUNI
