CATPRD,NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD)
CARBURANT,GOULETTE,GASOIL,155830,18-Aug,3,53,113100.445,95
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,150500,18-Aug,18,49,140074.74,90
CARBURANT,SKHIRA,GASOIL 50,155550,18-Aug,19,81,7183.63,5
CARBURANT,GOULETTE,GASOIL,153770,18-Aug,4,47,72622.391,61
CARBURANT,GOULETTE,GASOIL,155080,18-Jul,21,29,7143.186,6
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,151030,18-Jul,21,1,20233.018,13
CARBURANT,SKHIRA,GASOIL,155160,18-Nov,22,14,103066.046,82
CARBURANT,ZARZIS,GASOIL 50,153940,18-Aug,22,25,126431.888,88
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,152590,18-Aug,5,37,138518.354,89
CARBURANT,BIZERTE CARBURANT,GASOIL 50,152970,18-Jul,10,48,4310.178,3
CARBURANT,BIZERTE CARBURANT,GASOIL,673272,18-Aug,6,1,17857.965,15
CARBURANT,BIZERTE CARBURANT,GASOIL,207411,18-Jul,6,17,36782.461,31
CARBURANT,SKHIRA,GASOIL 50,150810,18-Nov,13,25,113226.548,76
CARBURANT,BIZERTE CARBURANT,GASOIL 50,563081,18-Jul,1,65,44538.506,31
CARBURANT,BIZERTE CARBURANT,GASOIL,154250,18-Jul,14,28,7143.186,6
CARBURANT,GOULETTE,GASOIL,229591,18-Aug,3,19,5952.655,5
CARBURANT,BIZERTE CARBURANT,FOL,208201,18-Jul,6,15,26632.515,46.36
CARBURANT,SKHIRA,GASOIL 50,208711,18-Aug,17,39,35918.15,25
CARBURANT,SKHIRA,GASOIL,153190,18-Aug,16,13,40478.054,34
CARBURANT,GOULETTE,GASOIL,200091,18-Aug,1,92,14286.372,12
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,155830,18-Aug,3,97,80932.072,52
CARBURANT,BIZERTE CARBURANT,FOL,200021,18-Aug,5,12,28145.706,48.82
CARBURANT,BIZERTE CARBURANT,AGILIX PREMIUM ESSENCE,150470,18-Aug,6,1,6796.976,4
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,154760,18-Aug,4,24,80932.072,52
CARBURANT,SKHIRA,GASOIL,154740,18-Aug,11,54,61907.612,52
CARBURANT,BIZERTE CARBURANT,FOL,202901,18-Aug,4,53,27938.159,48.46
CARBURANT,SKHIRA,GASOIL,155270,18-Aug,3,16,13095.841,11
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,155750,18-Aug,1,50,29571.334,19
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,154770,18-Aug,7,19,6225.544,4
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,155180,18-Aug,8,26,9338.316,6
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,563081,18-Aug,1,65,23345.79,15
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,155420,18-Aug,12,77,12451.088,8
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,155320,18-Jul,22,1,17120.246,11
CARBURANT,SKHIRA,GASOIL,209141,18-Aug,21,1,218276.766,186
CARBURANT,SKHIRA,GASOIL,214481,18-Jul,5,19,10674.279,9
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,150470,18-Nov,6,1,226559.787,141
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,155360,18-Jul,16,38,15563.86,10
CARBURANT,GOULETTE,GASOIL,154820,18-Aug,15,28,84527.701,71
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,154190,18-Jul,16,1,6225.544,4
CARBURANT,GOULETTE,GASOIL,151620,18-Jul,12,20,9524.248,8
CARBURANT,SKHIRA,GASOIL 50,153860,18-Aug,11,21,2873.452,2
CARBURANT,SKHIRA,GASOIL 50,154450,18-Aug,3,52,38791.602,27
CARBURANT,SKHIRA,FOL,202791,18-Aug,22,95,27753.673,48.14
CARBURANT,SKHIRA,GASOIL,151770,18-Aug,14,28,50002.302,42
CARBURANT,SKHIRA,GASOIL,153800,18-Aug,11,13,60717.081,51
CARBURANT,GOULETTE,AGILIX PREMIUM ESSENCE,155620,18-Jul,14,8,5097.732,3
CARBURANT,GOULETTE,GASOIL,153990,18-Nov,2,13,120662.688,96
CARBURANT,GOULETTE,GASOIL,152160,18-Jul,17,58,3571.593,3
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,152930,18-Aug,1,40,35796.878,23
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,153180,18-Aug,17,67,24902.176,16
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,150810,18-Aug,13,25,38909.65,25
CARBURANT,BIZERTE CARBURANT,GASOIL,153900,18-Aug,17,67,15476.903,13
CARBURANT,BIZERTE CARBURANT,GASOIL,155590,18-Aug,17,67,16667.434,14
CARBURANT,BIZERTE CARBURANT,GASOIL,150990,18-Aug,18,42,23810.62,20
CARBURANT,SKHIRA,GASOIL,229711,18-Aug,12,76,11880.31,10
CARBURANT,GOULETTE,GASOIL,214091,18-Aug,17,61,36906.461,31
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,154740,18-Aug,11,54,20233.018,13
CARBURANT,GOULETTE,GASOIL,201371,18-Aug,21,47,9524.248,8
CARBURANT,GOULETTE,GASOIL,229391,18-Aug,14,28,11905.31,10
CARBURANT,BIZERTE CARBURANT,GASOIL 50,155520,18-Aug,17,38,10057.082,7
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,150990,18-Aug,18,42,63811.826,41
CARBURANT,SKHIRA,GASOIL 50,155420,18-Aug,12,77,30171.246,21
CARBURANT,GOULETTE,GASOIL,154430,18-Aug,8,33,55954.957,47
CARBURANT,GOULETTE,GASOIL,214481,18-Aug,4,35,86580.263,73
CARBURANT,SKHIRA,GASOIL,563741,18-Nov,23,80,7541.418,6
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,154260,18-Aug,1,47,99608.704,64
CARBURANT,SKHIRA,GASOIL 50,152510,18-Aug,2,91,11493.808,8
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,152510,18-Aug,2,91,45135.194,29
CARBURANT,BIZERTE CARBURANT,WHITE SPIRIT,209871,18-Aug,6,1,3705.882,3
CARBURANT,SKHIRA,GASOIL,221741,18-Aug,19,44,73254.922,62
CARBURANT,ZARZIS,GASOIL,215161,18-Aug,23,93,35655.93,30
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,153560,18-Aug,16,35,35796.878,23
CARBURANT,GOULETTE,AGILIX PREMIUM ESSENCE,155630,18-Aug,14,28,15293.196,9
CARBURANT,GOULETTE,GASOIL,155320,18-Aug,22,1,8333.717,7
CARBURANT,GOULETTE,GASOIL,241390,18-Aug,15,28,17775.465,15
CARBURANT,GOULETTE,GASOIL,212851,18-Aug,3,54,8316.217,7
CARBURANT,GOULETTE,GASOIL,152160,18-Aug,17,61,7143.186,6
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,151030,18-Aug,21,1,15563.86,10
CARBURANT,GOULETTE,GASOIL,153190,18-Aug,16,13,5952.655,5
CARBURANT,GOULETTE,GASOIL,155160,18-Aug,22,14,21429.558,18
CARBURANT,GOULETTE,GASOIL,203451,18-Aug,22,98,16667.434,14
CARBURANT,BIZERTE CARBURANT,FOL,244620,18-Aug,7,33,5926.626,10.28
CARBURANT,BIZERTE CARBURANT,FOL,223491,18-Aug,23,37,57928.73,100.48
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,155520,18-Sep,17,38,92892.28,58
CARBURANT,BIZERTE CARBURANT,GASOIL 50,153930,18-Aug,13,19,7183.63,5
CARBURANT,GOULETTE,GASOIL,242471,18-Sep,14,28,422362.468,343
CARBURANT,GOULETTE,GASOIL,155750,18-Sep,1,50,122114.542,98
CARBURANT,SKHIRA,GASOIL 50,154500,18-Aug,1,43,34481.424,24
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,154110,18-Sep,4,2,102583.543,64
CARBURANT,GOULETTE,GASOIL,154000,18-Sep,4,35,111466.135,89
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,155270,18-Aug,3,16,42022.422,27
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,151770,18-Aug,14,28,23345.79,15
CARBURANT,BIZERTE CARBURANT,GASOIL 50,155560,18-Aug,15,19,5746.904,4
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,155620,18-Aug,14,8,17120.246,11
CARBURANT,GOULETTE,GASOIL,561292,18-Aug,5,18,5952.655,5
CARBURANT,SKHIRA,GASOIL,207301,18-Aug,17,65,19048.496,16
CARBURANT,SKHIRA,GASOIL 50,152590,18-Aug,5,37,7183.63,5
CARBURANT,BIZERTE CARBURANT,GASOIL 50,153670,18-Aug,21,5,5746.904,4
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,153670,18-Aug,21,5,6225.544,4
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,155660,18-Aug,7,33,49804.352,32
CARBURANT,ZARZIS,GASOIL 50,155730,18-Aug,13,19,4310.178,3
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,153940,18-Aug,22,25,24902.176,16
CARBURANT,BIZERTE CARBURANT,GASOIL 50,153290,18-Aug,16,51,4310.178,3
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,563011,18-Aug,1,43,18676.632,12
CARBURANT,GOULETTE,GASOIL,204852,18-Aug,18,42,38096.992,32
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,153490,18-Aug,11,42,17120.246,11
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,153990,18-Jun,2,13,1108227.774,734
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,152510,18-Aug,2,91,10894.702,7
CARBURANT,SKHIRA,GASOIL,155380,18-Aug,2,12,8333.717,7
CARBURANT,BIZERTE CARBURANT,GASOIL 50,155720,18-Jun,3,97,28734.52,20
CARBURANT,BIZERTE CARBURANT,GASOIL 50,563741,18-Aug,6,72,12930.534,9
CARBURANT,GOULETTE,GASOIL,154870,18-Jun,14,28,70299.371,61
CARBURANT,GOULETTE,GASOIL,152290,18-Jun,4,26,218899.97,190
CARBURANT,GOULETTE,GASOIL,154520,18-Sep,4,11,331751.855,265
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,155510,18-Sep,3,21,247448.278,154
CARBURANT,SKHIRA,GASOIL 50,153900,18-Jun,17,67,40403.986,29
CARBURANT,BIZERTE CARBURANT,GASOIL,155640,18-Jun,15,16,17857.965,15
CARBURANT,BIZERTE CARBURANT,GASOIL 50,155820,18-Jun,14,39,146011.074,105
CARBURANT,SKHIRA,GASOIL,153300,18-Sep,17,67,113121.27,90
CARBURANT,GOULETTE,GASOIL,153650,18-Jun,2,94,256063.589,223
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,154270,18-Jun,17,30,39268.561,26
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,154280,18-Jun,17,67,131308.957,87
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,155310,18-Jun,12,15,92292.496,61
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,151560,18-Sep,4,42,33591.684,21
CARBURANT,SKHIRA,GASOIL,153560,18-Jun,16,35,817915.086,714
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,152800,18-Jun,14,13,37964.275,25
CARBURANT,SKHIRA,GASOIL 50,154920,18-Jun,15,28,9592.478,7
CARBURANT,SKHIRA,GASOIL,430082,18-Sep,17,67,62181.43,50
CARBURANT,GOULETTE,GASOIL,155140,18-Jun,4,36,126710.602,110
CARBURANT,SKHIRA,GASOIL,206891,18-Sep,15,31,143286.942,114
CARBURANT,SKHIRA,GASOIL,563741,18-Aug,12,19,5952.655,5
CARBURANT,SKHIRA,FOL,206201,18-Jul,12,28,13859.541,24.04
CARBURANT,GOULETTE,GASOIL,206491,18-Jul,3,44,-6510.764,0
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,151470,18-Aug,22,47,31127.72,20
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,155050,18-Aug,23,37,6225.544,4
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,153170,18-Aug,22,3,9338.316,6
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,155760,18-Sep,3,97,359420.558,224
CARBURANT,BIZERTE CARBURANT,GASOIL 50,155380,18-Sep,2,12,66723.453,45
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,155110,18-Aug,5,19,21789.404,14
CARBURANT,SKHIRA,GASOIL 50,437682,18-Aug,18,34,25861.068,18
CARBURANT,SKHIRA,GASOIL,217331,18-Aug,23,91,36906.461,31
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,154880,18-Jun,8,33,118372.908,78
CARBURANT,BIZERTE CARBURANT,GASOIL 50,153260,18-Sep,14,27,87634.072,59
CARBURANT,SKHIRA,GASOIL,435582,18-Aug,11,50,5952.655,5
CARBURANT,GOULETTE,GASOIL,154500,18-Jun,1,43,92861.418,78
CARBURANT,GOULETTE,GASOIL,155020,18-Jun,1,58,243627.303,213
CARBURANT,BIZERTE CARBURANT,PETROLE,151860,18-Jun,6,17,1441.592,2
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,154400,18-Jun,7,81,45242.005,30
CARBURANT,SKHIRA,GASOIL 50,155640,18-Sep,15,16,51878.32,35
CARBURANT,SKHIRA,GASOIL,435562,18-Sep,16,2,10055.224,8
CARBURANT,BIZERTE CARBURANT,GASOIL 50,152620,18-Sep,1,43,58103.097,39
CARBURANT,SKHIRA,FOL,209372,18-Jun,18,48,382932.394,722.96
CARBURANT,SKHIRA,GASOIL,202011,18-Jun,17,67,1522901.301,1347
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,155180,18-Sep,8,26,9640.842,6
CARBURANT,SKHIRA,GASOIL 50,155610,18-Jun,20,62,36093.808,26
CARBURANT,BIZERTE CARBURANT,FOL,244620,18-Sep,7,33,12970.152,20.6
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,153770,18-Jun,4,47,68272.67,45
CARBURANT,ZARZIS,SSP SUPER SANS PLOMB,153430,18-Sep,23,56,9640.842,6
CARBURANT,BIZERTE CARBURANT,WHITE SPIRIT,211591,18-Sep,6,1,3857.142,3
CARBURANT,BIZERTE CARBURANT,GASOIL,154670,18-Sep,6,8,37574.346,30
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,154560,18-Sep,13,43,73711.438,46
CARBURANT,ZARZIS,GASOIL 50,153000,18-Sep,23,95,58103.097,39
CARBURANT,GOULETTE,GASOIL,153690,18-Sep,5,13,292389.63,234
CARBURANT,SKHIRA,GASOIL,211871,18-Sep,17,18,14817.348,12
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,154640,18-Sep,19,44,24102.105,15
CARBURANT,SKHIRA,GASOIL,153410,18-Sep,14,27,148314.554,118
CARBURANT,BIZERTE CARBURANT,GASOIL 50,151860,18-Sep,6,17,41715.044,28
CARBURANT,SKHIRA,GASOIL,152170,18-Sep,4,6,21367.351,17
CARBURANT,BIZERTE CARBURANT,WHITE SPIRIT,229921,18-Sep,3,36,12857.14,10
CARBURANT,ZARZIS,SSP SUPER SANS PLOMB,155050,18-Sep,23,37,51216.14,32
CARBURANT,SKHIRA,GASOIL,208452,18-Oct,17,67,2443577.044,1948
CARBURANT,GOULETTE,GASOIL,154110,18-Sep,4,2,145800.748,116
CARBURANT,GOULETTE,GASOIL,563071,18-Sep,1,75,37707.09,30
CARBURANT,SKHIRA,GASOIL,155350,18-Sep,20,15,17596.642,14
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,560332,18-Sep,4,36,8034.035,5
CARBURANT,BIZERTE CARBURANT,FOL,206281,18-Sep,7,29,45974.779,73.02
CARBURANT,SKHIRA,GASOIL 50,154280,18-Sep,17,67,56613.274,38
CARBURANT,SKHIRA,GASOIL,201651,18-Jun,17,5,9460.248,8
CARBURANT,SKHIRA,GASOIL,563741,18-Sep,13,43,8798.321,7
CARBURANT,SKHIRA,GASOIL,241430,18-Sep,17,55,8763.321,7
CARBURANT,SKHIRA,GASOIL,208711,18-Sep,17,39,55303.732,44
CARBURANT,ZARZIS,GASOIL,150460,18-Jun,23,37,20239.027,17
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,153950,18-Jun,17,67,78348.047,52
CARBURANT,SKHIRA,GASOIL,206081,18-Jun,21,1,38074.144,32
CARBURANT,SKHIRA,FOL,222951,18-Jun,20,15,39603.803,72.4
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,154860,18-Jun,1,79,98052.318,63
CARBURANT,GOULETTE,GASOIL,154690,18-Jun,24,2,131800.421,115
CARBURANT,SKHIRA,GASOIL 50,152400,18-Jun,13,29,9791.594,7
CARBURANT,SKHIRA,FOL,223491,18-Jun,23,36,83387.852,144.64
CARBURANT,SKHIRA,GASOIL,207531,18-Sep,17,77,8773.821,7
CARBURANT,SKHIRA,GASOIL,210481,18-Sep,21,37,26331.963,21
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,154920,18-Jun,15,28,57586.282,37
CARBURANT,BIZERTE CARBURANT,GASOIL 50,153600,18-Aug,21,37,2873.452,2
CARBURANT,SKHIRA,GASOIL,154100,18-Sep,11,28,72900.374,58
CARBURANT,BIZERTE CARBURANT,GASOIL,563011,18-Sep,1,43,18853.545,15
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,152930,18-Jun,1,40,308490.169,204
CARBURANT,SKHIRA,GASOIL 50,155630,18-Jun,14,28,20114.164,14
CARBURANT,SKHIRA,GASOIL 50,155640,18-Jun,15,16,25861.068,18
CARBURANT,BIZERTE CARBURANT,GASOIL 50,155740,18-Jun,3,52,55610.624,40
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,151350,18-Sep,1,43,218525.752,136
CARBURANT,BIZERTE CARBURANT,GASOIL,153690,18-Sep,5,13,18853.545,15
CARBURANT,BIZERTE CARBURANT,PETROLE,152970,18-Jun,10,48,2162.388,3
CARBURANT,SKHIRA,GASOIL,154110,18-Sep,4,2,15082.836,12
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,154110,18-Sep,4,2,9640.842,6
CARBURANT,GOULETTE,GASOIL,152860,18-Jun,14,25,31746.105,27
CARBURANT,GOULETTE,GASOIL,208241,18-Sep,10,10,12539.03,10
CARBURANT,BIZERTE CARBURANT,FOL,241301,18-Sep,14,21,36694.195,58.28
CARBURANT,BIZERTE CARBURANT,GASOIL 50,153780,18-Jun,5,25,35975.436,26
CARBURANT,SKHIRA,GASOIL 50,155280,18-Jun,20,33,15206.638,11
CARBURANT,GOULETTE,GASOIL,210111,18-Jun,7,58,22433.18,20
CARBURANT,SKHIRA,GASOIL,210481,18-Jun,21,37,14250.372,12
CARBURANT,SKHIRA,GASOIL,218541,18-Jun,23,93,108152.025,93
CARBURANT,BIZERTE CARBURANT,B.T.S,209381,18-Jun,21,1,147661.551,121.8
CARBURANT,ZARZIS,GASOIL,437912,18-Sep,22,22,8798.321,7
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,155270,18-Jun,3,16,123716.102,82
CARBURANT,ZARZIS,GASOIL,563741,18-Jun,22,47,16667.434,14
CARBURANT,BIZERTE CARBURANT,GASOIL 50,154730,18-Jun,14,14,61158.412,44
CARBURANT,BIZERTE CARBURANT,GASOIL,201541,18-Aug,14,27,3565.593,3
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,155770,18-Oct,6,40,176748.77,110
CARBURANT,BIZERTE CARBURANT,GASOIL 50,152440,18-Jun,14,6,19450.444,14
CARBURANT,SKHIRA,GASOIL 50,218501,18-Aug,14,28,14367.26,10
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,152620,18-Sep,1,43,167107.928,104
CARBURANT,BIZERTE CARBURANT,GASOIL 50,437852,18-Jun,11,13,41110.62,30
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,153570,18-Sep,10,3,14461.263,9
CARBURANT,BIZERTE CARBURANT,GASOIL,202091,18-Sep,4,70,25118.06,20
CARBURANT,GOULETTE,GASOIL,436912,18-Sep,8,15,6284.515,5
CARBURANT,GOULETTE,GASOIL,225901,18-Jun,1,46,5620.795,5
CARBURANT,BIZERTE CARBURANT,GASOIL 50,673442,18-Sep,10,31,14898.23,10
CARBURANT,GOULETTE,AGILIX PREMIUM ESSENCE,152930,18-Sep,1,40,6998.656,4
CARBURANT,SKHIRA,GASOIL,202581,18-Sep,17,9,25098.06,20
CARBURANT,BIZERTE CARBURANT,GASOIL 50,154730,18-Oct,14,14,58103.097,39
CARBURANT,GOULETTE,GASOIL,241440,18-Sep,4,21,30045.672,24
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,437852,18-Sep,11,13,16068.07,10
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,152170,18-Oct,4,6,9640.842,6
CARBURANT,ZARZIS,GASOIL,211491,18-Sep,23,36,28839.769,23
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,153130,18-Sep,10,31,20888.491,13
CARBURANT,ZARZIS,GASOIL,200581,18-Sep,23,62,12569.03,10
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,150720,18-Oct,2,12,331002.242,206
CARBURANT,BIZERTE CARBURANT,GASOIL 50,152590,18-Sep,5,37,53368.143,36
CARBURANT,ZARZIS,GASOIL,153000,18-Sep,23,95,52789.926,42
CARBURANT,BIZERTE CARBURANT,FOL,206091,18-Sep,6,40,61652.292,97.92
CARBURANT,SKHIRA,GASOIL 50,155310,18-Oct,12,15,56613.274,38
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,673272,18-Sep,6,1,17674.877,11
CARBURANT,GOULETTE,GASOIL,204853,18-Aug,1,43,38096.992,32
CARBURANT,GOULETTE,GASOIL,563741,18-Sep,14,28,6284.515,5
CARBURANT,BIZERTE CARBURANT,WHITE SPIRIT,245500,18-Sep,15,35,119106.402,93
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,154760,18-Sep,4,24,11247.649,7
CARBURANT,SKHIRA,GASOIL 50,155730,18-Sep,13,51,4469.469,3
CARBURANT,SKHIRA,GASOIL,219041,18-Sep,17,1,3770.709,3
CARBURANT,GOULETTE,GASOIL,201691,18-Sep,4,11,37707.09,30
CARBURANT,ZARZIS,GASOIL,211511,18-Sep,23,37,2509.806,2
CARBURANT,GOULETTE,GASOIL,563841,18-Sep,1,90,7541.418,6
CARBURANT,BIZERTE CARBURANT,FOL,244620,18-Sep,5,12,11811.652,18.76
CARBURANT,SKHIRA,GASOIL,154270,18-Oct,17,30,256408.212,204
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,207511,18-Sep,14,1,3213.614,2
CARBURANT,SKHIRA,FOL,244590,18-Sep,20,15,15161.226,24.08
CARBURANT,ZARZIS,SSP SUPER SANS PLOMB,437912,18-Sep,22,14,9640.842,6
CARBURANT,ZARZIS,GASOIL 50,437912,18-Sep,22,14,26816.814,18
CARBURANT,SKHIRA,GASOIL,435552,18-Sep,18,34,22624.254,18
CARBURANT,SKHIRA,GASOIL,563741,18-Sep,21,1,42734.702,34
CARBURANT,GOULETTE,GASOIL,153020,18-Sep,15,8,60331.344,48
CARBURANT,SKHIRA,GASOIL 50,155360,18-Oct,16,38,35755.752,24
CARBURANT,BIZERTE CARBURANT,GASOIL 50,437702,18-Sep,14,28,49164.159,33
CARBURANT,GOULETTE,GASOIL,205541,18-Sep,14,1,63041.253,51
CARBURANT,SKHIRA,GASOIL,153210,18-Oct,16,44,172195.711,137
CARBURANT,GOULETTE,GASOIL,152800,18-Oct,14,13,227499.443,181
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,152800,18-Oct,14,13,57845.052,36
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,155240,18-Oct,7,7,33742.947,21
CARBURANT,GOULETTE,GASOIL,154260,18-Oct,1,47,307941.235,245
CARBURANT,BIZERTE CARBURANT,FOL,204611,18-Oct,2,9,33609.063,53.38
CARBURANT,BIZERTE CARBURANT,FOL,216791,18-Oct,3,97,14821.23,23.54
CARBURANT,BIZERTE CARBURANT,GASOIL,214481,18-Sep,4,35,12524.03,10
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,152620,18-Oct,1,43,205671.296,128
CARBURANT,GOULETTE,GASOIL,206081,18-Oct,1,42,174610.271,139
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,155830,18-Oct,3,97,64272.28,40
CARBURANT,BIZERTE CARBURANT,FOL,206091,18-Oct,6,40,139548.755,221.64
CARBURANT,SKHIRA,GASOIL,153880,18-Oct,21,1,22624.254,18
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,153130,18-Oct,10,31,73913.122,46
CARBURANT,SKHIRA,GASOIL 50,153210,18-Oct,16,44,19367.699,13
CARBURANT,BIZERTE CARBURANT,GASOIL 50,155780,18-Oct,7,57,31286.283,21
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,153290,18-Sep,16,51,14461.263,9
CARBURANT,SKHIRA,GASOIL 50,153130,18-Oct,10,31,50653.982,34
CARBURANT,SKHIRA,GASOIL 50,154210,18-Sep,13,25,4469.469,3
CARBURANT,GOULETTE,GASOIL,563741,18-Sep,11,13,18853.545,15
CARBURANT,GOULETTE,GASOIL,567742,18-Sep,3,53,50276.12,40
CARBURANT,SKHIRA,GASOIL 50,150810,18-Oct,13,25,120675.663,81
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,153470,18-Sep,10,24,8034.035,5
CARBURANT,BIZERTE CARBURANT,GASOIL,155620,18-Oct,14,8,21367.351,17
CARBURANT,SKHIRA,FOL,244430,18-Oct,18,49,79331.994,126
CARBURANT,BIZERTE CARBURANT,GASOIL 50,563252,18-Oct,2,12,35755.752,24
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,155090,18-Oct,13,12,9640.842,6
CARBURANT,SKHIRA,GASOIL,207531,18-Oct,17,80,8773.821,7
CARBURANT,SKHIRA,GASOIL,202091,18-Oct,4,70,55259.732,44
CARBURANT,SKHIRA,GASOIL,225001,18-Oct,22,14,16339.739,13
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,153570,18-Oct,10,3,19281.684,12
CARBURANT,GOULETTE,GASOIL,153470,18-Oct,10,24,52789.926,42
CARBURANT,SKHIRA,GASOIL 50,154280,18-Oct,17,67,62572.566,42
CARBURANT,SKHIRA,GASOIL,221741,18-Oct,18,34,235853.667,189
CARBURANT,SKHIRA,GASOIL 50,153170,18-Oct,22,3,7449.115,5
CARBURANT,BIZERTE CARBURANT,GASOIL 50,153570,18-Oct,10,3,7449.115,5
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,151350,18-Oct,1,43,11247.649,7
CARBURANT,GOULETTE,GASOIL,153460,18-Oct,10,7,116891.979,93
CARBURANT,BIZERTE CARBURANT,GASOIL 50,563741,18-Oct,6,72,23837.168,16
CARBURANT,GOULETTE,GASOIL,245670,18-Sep,14,13,2513.806,2
CARBURANT,BIZERTE CARBURANT,GASOIL,152510,18-Oct,2,91,52789.926,42
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,153930,18-Oct,13,19,16068.07,10
CARBURANT,SKHIRA,GASOIL,153630,18-Oct,12,28,70386.568,56
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,151560,18-Oct,4,42,22495.298,14
