CATPRD,NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD)
CARBURANT,GOULETTE,GASOIL,218751,18-Feb,4,10,39956.707,37
CARBURANT,BIZERTE CARBURANT,PETROLE,151770,18-Feb,14,28,3603.98,5
CARBURANT,GOULETTE,GASOIL,152590,18-Feb,5,37,89632.613,83
CARBURANT,BIZERTE CARBURANT,PETROLE,153180,18-Jan,17,67,35319.004,49
CARBURANT,ZARZIS,GASOIL,431371,18-Jan,22,3,66954.482,62
CARBURANT,BIZERTE CARBURANT,FOL,208202,18-Jan,6,15,642548.599,1296.7
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,153540,18-Mar,4,5,49345.696,34
CARBURANT,GOULETTE,GASOIL,201831,18-Jan,1,41,155507.184,144
CARBURANT,SKHIRA,FOL,211751,18-Jan,23,36,143605.324,289.08
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,150300,18-Jan,1,43,24672.848,17
CARBURANT,BIZERTE CARBURANT,GASOIL 50,153460,18-Jan,10,7,21093.628,16
CARBURANT,BIZERTE CARBURANT,GASOIL 50,228171,18-Feb,6,45,3978.318,3
CARBURANT,SKHIRA,GASOIL,216011,18-Jan,21,2,19384.398,18
CARBURANT,GOULETTE,GASOIL,151560,18-Mar,4,42,29157.597,27
CARBURANT,ZARZIS,GASOIL,155160,18-Mar,22,14,115550.477,107
CARBURANT,SKHIRA,GASOIL,154240,18-Mar,16,25,186824.603,173
CARBURANT,GOULETTE,GASOIL,202961,18-Jan,3,52,33477.241,31
CARBURANT,BIZERTE CARBURANT,PETROLE,155290,18-Jan,20,31,4324.776,6
CARBURANT,ZARZIS,GASOIL 50,563741,18-Mar,22,25,51718.134,39
CARBURANT,ZARZIS,GASOIL 50,154580,18-Mar,22,25,53044.24,40
CARBURANT,ZARZIS,GASOIL,203621,18-Jan,22,95,85154.969,79
CARBURANT,BIZERTE CARBURANT,PETROLE,155610,18-Mar,20,12,5766.368,8
CARBURANT,SKHIRA,GASOIL,153950,18-Mar,17,67,149027.718,138
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,152620,18-Jan,1,43,137877.68,95
CARBURANT,GOULETTE,GASOIL,154450,18-Mar,3,52,279696.949,259
CARBURANT,GOULETTE,GASOIL,154000,18-Mar,4,35,128509.409,119
CARBURANT,SKHIRA,GASOIL,566001,18-Jan,13,43,2159.822,2
CARBURANT,BIZERTE CARBURANT,PETROLE,154820,18-Jan,15,28,4324.776,6
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,154260,18-Jan,1,47,89983.328,62
CARBURANT,BIZERTE CARBURANT,GASOIL,210681,18-Feb,6,8,51835.728,48
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,154790,18-Mar,1,43,1230739.712,848
CARBURANT,BIZERTE CARBURANT,PETROLE,152800,18-Mar,14,13,4324.776,6
CARBURANT,SKHIRA,GASOIL,225031,18-Jan,21,2,22646.631,21
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,150750,18-Jan,12,1,13062.096,9
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,151030,18-Mar,21,1,143683.056,99
CARBURANT,BIZERTE CARBURANT,PETROLE,155130,18-Feb,1,65,4324.776,6
CARBURANT,BIZERTE CARBURANT,GASOIL 50,155240,18-Feb,7,7,2652.212,2
CARBURANT,ZARZIS,GASOIL 50,563081,18-Jan,23,80,7956.636,6
CARBURANT,SKHIRA,GASOIL,204881,18-Jan,21,1,9674.199,9
CARBURANT,ZARZIS,GASOIL 50,563741,18-Jan,22,25,38457.074,29
CARBURANT,BIZERTE CARBURANT,GASOIL,214831,18-Jan,6,15,5399.555,5
CARBURANT,SKHIRA,GASOIL,210511,18-Jan,21,2,10799.11,10
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,154760,18-Feb,4,24,52248.384,36
CARBURANT,SKHIRA,GASOIL,209141,18-Jan,20,15,65900.482,62
CARBURANT,BIZERTE CARBURANT,GASOIL 50,154500,18-Mar,1,43,214829.172,162
CARBURANT,BIZERTE CARBURANT,FOL,219041,18-Feb,5,13,12233.063,24.62
CARBURANT,SKHIRA,GASOIL,241340,18-Feb,17,55,2072349.209,1919
CARBURANT,BIZERTE CARBURANT,PETROLE,152440,18-Feb,14,6,2162.388,3
CARBURANT,SKHIRA,FOL,200691,18-Feb,12,15,95829.045,192.98
CARBURANT,SKHIRA,GASOIL,207231,18-Jan,18,37,102354.045,95
CARBURANT,ZARZIS,GASOIL,223751,18-Mar,22,98,8639.288,8
