NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT
GOULETTE,GASOIL,ZAGHOUAN,18-Feb,ZAGHOUAN,ZAGHOUAN,89632.613,83.0,1079.911
GOULETTE,SSP SUPER SANS PLOMB,TOZOGHRANE,18-Mar,NABEUL,TOZGRANE,49345.696,34.0,1451.344
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AV REPUBLIQUE,18-Jan,TUNIS,TUNIS VILLE,24672.848,17.0,1451.344
BIZERTE CARBURANT,GASOIL 50,GAAFOUR,18-Jan,SILIANA,GAAFOUR,21093.628,16.0,1318.35175
GOULETTE,GASOIL,DOUALA,18-Mar,NABEUL,DOUALA,29157.597,27.0,1079.911
ZARZIS,GASOIL,MEDNINE,18-Mar,MEDENINE,MEDENINE,115550.477,107.0,1079.911
SKHIRA,GASOIL,MELLOULECH,18-Mar,MAHDIA,MELLOULECH,186824.603,173.0,1079.911
ZARZIS,GASOIL 50,ZARZIS,18-Mar,MEDENINE,ZARZIS,53044.24,40.0,1326.106
SKHIRA,GASOIL,CITE EL MOEZ  SFAX,18-Mar,SFAX,SFAX,149027.718,138.0,1079.911
GOULETTE,SSP SUPER SANS PLOMB,AV DE CARTHAGE,18-Jan,TUNIS,TUNIS VILLE,137877.68,95.0,1451.3439999999998
GOULETTE,GASOIL,BEN AROUS MC 34,18-Mar,BEN AROUS,BEN AROUS,279696.949,259.0,1079.911
GOULETTE,GASOIL,EL MRAZKA,18-Mar,NABEUL,HAMMAMET,128509.409,119.0,1079.911
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,ENTREE SUD,18-Jan,TUNIS,KABARIA,89983.328,62.0,1451.3439999999998
GOULETTE,SSP SUPER SANS PLOMB,BERGES DU LAC,18-Mar,TUNIS,TUNIS VILLE,1230739.712,848.0,1451.344
GOULETTE,SSP SUPER SANS PLOMB,TAHLA,18-Jan,KASSERINE,THALA,13062.096,9.0,1451.344
SKHIRA,SSP SUPER SANS PLOMB,GABES GP1,18-Mar,GABES,GABES,143683.056,99.0,1451.344
BIZERTE CARBURANT,GASOIL 50,OUCHTATA,18-Feb,BEJA,OUECHTATA,2652.212,2.0,1326.106
GOULETTE,SSP SUPER SANS PLOMB,BENI KHALLED,18-Feb,NABEUL,BENI-KHALED,52248.384,36.0,1451.344
BIZERTE CARBURANT,GASOIL 50,SORTIE SUD Z4,18-Mar,TUNIS,TUNIS VILLE,214829.172,162.0,1326.106
SKHIRA,GASOIL,PORT DE SFAX,18-Feb,SFAX,SFAX,328292.944,304.0,1079.911
SKHIRA,GASOIL,SIDI BOUZID,18-Feb,SIDI BOUZID,SIDI BOUZID,356370.63,330.0,1079.911
BIZERTE CARBURANT,GASOIL 50,JENDOUBA VILLE,18-Feb,JENDOUBA,JENDOUBA,14587.166,11.0,1326.106
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AV DE CARTHAGE,18-Jan,TUNIS,TUNIS VILLE,31929.568,22.0,1451.344
SKHIRA,SSP SUPER SANS PLOMB,KEBILI (ex-GPL),18-Feb,KEBILI,KEBILI,26124.192,18.0,1451.344
SKHIRA,SSP SUPER SANS PLOMB,OUERDANINE,18-Feb,MONASTIR,EL OUERDANINE,14513.44,10.0,1451.344
SKHIRA,GASOIL,KASSERINE,18-Feb,KASSERINE,KASSERINE,142548.252,132.0,1079.911
GOULETTE,SSP SUPER SANS PLOMB,TAHLA,18-Feb,KASSERINE,THALA,2902.688,2.0,1451.344
SKHIRA,GASOIL 50,SIDI BOUALI,18-Feb,SOUSSE,SIDI BOU ALI,13261.06,10.0,1326.106
SKHIRA,SSP SUPER SANS PLOMB,EL BDERNA,18-Feb,SFAX,EL BDARNA,65310.48,45.0,1451.344
SKHIRA,GASOIL,GAFSA,18-Feb,GAFSA,GAFSA,170625.938,158.0,1079.911
GOULETTE,SSP SUPER SANS PLOMB,BEMBLA,18-Jan,MONASTIR,BEMBLA,15964.784,11.0,1451.344
GOULETTE,GASOIL,KSAR SAID,18-Feb,TUNIS,KSAR SAID,156587.095,145.0,1079.911
BIZERTE CARBURANT,GASOIL 50,MEDNINE,18-Jan,MEDENINE,MEDENINE,14587.166,11.0,1326.106
SKHIRA,GASOIL 50,HAJEB EL AYOUN,18-Feb,KAIROUAN,HAJEB EL AYOUN,25196.014,19.0,1326.106
SKHIRA,GASOIL,S.A.BOUHAJLA,18-Feb,KAIROUAN,SIDI AMOR BOUHAJLA,47516.084,44.0,1079.911
SKHIRA,GASOIL,TOZEUR VILLE,18-Feb,TOZEUR,TOZEUR,118790.21,110.0,1079.911
BIZERTE CARBURANT,GASOIL 50,Rte DE L'AEROPORT KM 9 ,18-Feb,SFAX,SFAX,9282.742,7.0,1326.106
SKHIRA,GASOIL,S. KHELIFA pk72 ,18-Feb,SOUSSE,SIDI KHLIFA,132829.053,123.0,1079.911
SKHIRA,SSP SUPER SANS PLOMB,HERGLA,18-Feb,SOUSSE,HERGLA,74018.544,51.0,1451.3439999999998
GOULETTE,SSP SUPER SANS PLOMB,SLOUGUIA,18-Feb,BEJA,SLOUGUIA,62407.792,43.0,1451.344
BIZERTE CARBURANT,GASOIL 50,GRIAAT N. PK29,18-Feb,BEJA,MEDJEZ EL BAB,33152.65,25.0,1326.106
GOULETTE,GASOIL,HAMMAM SOUSSE,18-Feb,SOUSSE,HAMMAM SOUSSE,11879.021,11.0,1079.911
GOULETTE,SSP SUPER SANS PLOMB,HAMMAM SOUSSE,18-Feb,SOUSSE,HAMMAM SOUSSE,17416.128,12.0,1451.344
BIZERTE CARBURANT,GASOIL 50,BARGOU,18-Jan,SILIANA,BARGOU,13261.06,10.0,1326.106
BIZERTE CARBURANT,GASOIL 50,EL MRAZKA,18-Feb,NABEUL,HAMMAMET,23869.908,18.0,1326.106
SKHIRA,GASOIL,MOULARES,18-Feb,GAFSA,MOULARES,116630.388,108.0,1079.911
GOULETTE,GASOIL,EL AOUINA,18-Feb,TUNIS,EL AOUINA,160906.739,149.0,1079.911
SKHIRA,SSP SUPER SANS PLOMB,M. CHAKER,18-Feb,SFAX,MENZEL CHAKER,26124.192,18.0,1451.344
GOULETTE,SSP SUPER SANS PLOMB,MAAMOURA,18-Feb,NABEUL,MAAMOURA,39186.288,27.0,1451.344
SKHIRA,SSP SUPER SANS PLOMB,TOUZA,18-Feb,MONASTIR,TOUZA,31929.568,22.0,1451.344
BIZERTE CARBURANT,GASOIL 50,MATEUR,18-Feb,BIZERTE,MATEUR,21217.696,16.0,1326.106
BIZERTE CARBURANT,GASOIL 50,OUCHTATA,18-Feb,BEJA,OUECHTATA,9282.742,7.0,1326.106
BIZERTE CARBURANT,GASOIL 50,BOUARGOUB,18-Feb,NABEUL,BOUARGOUB,13261.06,10.0,1326.106
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,GHAR EL MELH,18-Feb,BIZERTE,GHAR EL MELEH,10159.408,7.0,1451.3439999999998
SKHIRA,GASOIL 50,SKHIRA,18-Feb,SFAX,SKHIRA,30500.438,23.0,1326.106
BIZERTE CARBURANT,GASOIL,M. BOURGUIBA,18-Feb,BIZERTE,MENZEL BOURGUIBA,44276.351,41.0,1079.911
GOULETTE,GASOIL,HAMMAM LIF,18-Feb,BEN AROUS,HAMMAM-LIF,17278.576,16.0,1079.911
ZARZIS,GASOIL,BIR LAHMAR,18-Feb,TATAOUINE,BIR LAHMAR,53995.55,50.0,1079.911
SKHIRA,GASOIL,SIDI EL HENI,18-Feb,SOUSSE,SIDI EL HENI,200863.446,186.0,1079.911
SKHIRA,GASOIL 50,FOUSSANA,18-Feb,KASSERINE,FOUSSANA,17239.378,13.0,1326.106
SKHIRA,SSP SUPER SANS PLOMB,SFAX TENIOUR,18-Feb,SFAX,SFAX,194480.096,134.0,1451.3439999999998
SKHIRA,GASOIL 50,OUERDANINE,18-Feb,MONASTIR,EL OUERDANINE,3978.318,3.0,1326.106
SKHIRA,GASOIL 50,GHANNOUCH,18-Feb,GABES,GHANNOUCHE,6630.53,5.0,1326.106
ZARZIS,GASOIL 50,BIR LAHMAR,18-Mar,TATAOUINE,BIR LAHMAR,38457.074,29.0,1326.106
SKHIRA,GASOIL 50,LE KEF,18-Feb,LE KEF,LE KEF,30500.438,23.0,1326.106
BIZERTE CARBURANT,GASOIL 50,ZAGHOUAN,18-Feb,ZAGHOUAN,ZAGHOUAN,6630.53,5.0,1326.106
SKHIRA,GASOIL,MELLOULECH,18-Feb,MAHDIA,MELLOULECH,140388.43,130.0,1079.911
SKHIRA,GASOIL 50,HERGLA,18-Feb,SOUSSE,HERGLA,23869.908,18.0,1326.106
SKHIRA,GASOIL 50,KORBA,18-Feb,NABEUL,KORBA,29174.332,22.0,1326.106
SKHIRA,GASOIL 50,ENNADHOUR,18-Feb,ZAGHOUAN,NADOUR,14587.166,11.0,1326.106
BIZERTE CARBURANT,GASOIL,RAS DJEBEL,18-Mar,BIZERTE,RAS DJEBEL,163066.561,151.0,1079.9109999999998
GOULETTE,SSP SUPER SANS PLOMB,SILIANA,18-May,SILIANA,SILIANA,83628.216,56.0,1493.361
BIZERTE CARBURANT,GASOIL 50,TOUZA,18-Mar,MONASTIR,TOUZA,7956.636,6.0,1326.106
BIZERTE CARBURANT,GASOIL,ZARZIS,18-Nov,MEDENINE,ZARZIS,11312.127,9.0,1256.903
GOULETTE,SSP SUPER SANS PLOMB,SAHLOUL,18-Mar,SOUSSE,SOUSSE,177063.968,122.0,1451.344
SKHIRA,SSP SUPER SANS PLOMB,HAJEB EL AYOUN,18-Mar,KAIROUAN,HAJEB EL AYOUN,71115.856,49.0,1451.344
SKHIRA,SSP SUPER SANS PLOMB,MEKNASSY,18-Mar,SIDI BOUZID,MEKNASSY,65310.48,45.0,1451.344
SKHIRA,GASOIL 50,NABEUL,18-Feb,NABEUL,NABEUL,33152.65,25.0,1326.106
BIZERTE CARBURANT,GASOIL,SBIBA,18-Aug,KASSERINE,SBIBA,4762.124,4.0,1190.531
BIZERTE CARBURANT,GASOIL,TAHLA,18-Aug,KASSERINE,THALA,50002.302,42.0,1190.5310000000002
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,JENDOUBA VILLE,18-Aug,JENDOUBA,JENDOUBA,57586.282,37.0,1556.386
SKHIRA,SSP SUPER SANS PLOMB,CHERARDA,18-Mar,KAIROUAN,CHERARDA,30478.224,21.0,1451.3439999999998
SKHIRA,GASOIL,JENDOUBA VILLE,18-Mar,JENDOUBA,JENDOUBA,26997.775,25.0,1079.911
GOULETTE,GASOIL,SORTIE SUD Z4,18-Mar,TUNIS,TUNIS VILLE,264578.195,245.0,1079.911
SKHIRA,GASOIL 50,SFAX  PIC VILLE,18-Mar,SFAX,SFAX,64979.194,49.0,1326.106
SKHIRA,GASOIL 50,SKHIRA,18-Mar,SFAX,SKHIRA,39783.18,30.0,1326.106
SKHIRA,SSP SUPER SANS PLOMB,OUEDHREF,18-Mar,GABES,OUEDHREF,20318.816,14.0,1451.3439999999998
SKHIRA,SSP SUPER SANS PLOMB,SIDI BOUZID,18-Mar,SIDI BOUZID,SIDI BOUZID,175612.624,121.0,1451.344
