NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT
SKHIRA,GASOIL,REJICHE,19-Mar,MAHDIA,REJICHE,96658.87,77.0,1255.31
GOULETTE,GASOIL 50,JENDOUBA GP17,19-May,JENDOUBA,JENDOUBA,18687.084,12.0,1557.2569999999998
GOULETTE,SSP SUPER SANS PLOMB,EL BATEN,19-May,KAIROUAN,EL BATEN,30075.12,18.0,1670.84
SKHIRA,GASOIL,AV REPUBLIQUE,19-Mar,TUNIS,TUNIS VILLE,15063.72,12.0,1255.31
GOULETTE,GASOIL 50,DAR ALLOUCHE,19-Apr,NABEUL,DAR ALLOUCHE,4671.771,3.0,1557.2569999999998
GOULETTE,GASOIL 50,DJEBEL JELLOUD,19-May,TUNIS,JEBEL JELLOUD,52946.738,34.0,1557.2569999999998
GOULETTE,GASOIL,IDENE,19-May,BEJA,I D E N,62659.742,47.0,1333.186
GOULETTE,APS AGILIX PREMIUM ESS.,EL MRAZKA,19-May,NABEUL,HAMMAMET,7294.452,4.0,1823.613
SKHIRA,SSP SUPER SANS PLOMB,OULED HAFFOUZ,19-Sep,SIDI BOUZID,OULED HAFFOUZ,56737.126,34.0,1668.7389999999998
GOULETTE,SSP SUPER SANS PLOMB,M. BOURGUIBA,19-May,BIZERTE,MENZEL BOURGUIBA,17475.4,10.0,1747.5400000000002
GOULETTE,GASOIL,MSAKEN,19-Sep,SOUSSE,M'SAKEN,445875.955,335.0,1330.973
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AV MOHAMED 5,19-Sep,TUNIS,TUNIS VILLE,33374.78,20.0,1668.739
GOULETTE,APS AGILIX PREMIUM ESS.,S. KHELIFA pk72 ,19-May,SOUSSE,SIDI KHLIFA,31001.421,17.0,1823.613
GOULETTE,SSP SUPER SANS PLOMB,DAR ALLOUCHE,19-May,NABEUL,DAR ALLOUCHE,21720.92,13.0,1670.84
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,MEDJEZ EL BAB,19-Sep,BEJA,MEDJEZ EL BAB,26699.824,16.0,1668.739
SKHIRA,GASOIL,GAFSA,19-Aug,GAFSA,GAFSA,247560.978,186.0,1330.973
SKHIRA,GASOIL,HASSI AMOR,19-Aug,MEDENINE,HASSI AMOR,121118.543,91.0,1330.973
SKHIRA,GAZOIL SANS SOUFRE,SOUASSI,19-Aug,MAHDIA,SOUASSI,57536.628,37.0,1555.044
GOULETTE,GASOIL,ROUHIA,19-Sep,SILIANA,ROUHIA,19964.595,15.0,1330.9730000000002
GOULETTE,GASOIL,MAKTHAR,19-Sep,SILIANA,MAKTHAR,49246.001,37.0,1330.973
GOULETTE,SSP SUPER SANS PLOMB,EL FAHS,19-Sep,ZAGHOUAN,EL FAHS,110136.774,66.0,1668.739
SKHIRA,SSP SUPER SANS PLOMB,KETTANA,19-Aug,GABES,KETTANA,68418.299,41.0,1668.739
GOULETTE,GASOIL,KORBA,19-Sep,NABEUL,KORBA,342060.061,257.0,1330.973
GOULETTE,GAZOIL SANS SOUFRE,ENNADHOUR,19-Sep,ZAGHOUAN,NADOUR,23325.66,15.0,1555.044
GOULETTE,SSP SUPER SANS PLOMB,EL BATEN,19-Sep,KAIROUAN,EL BATEN,43387.214,26.0,1668.739
GOULETTE,SSP SUPER SANS PLOMB,AZMOUR,19-Oct,NABEUL,AZMOUR,28368.563,17.0,1668.7389999999998
SKHIRA,GASOIL,Rte DE L'AEROPORT KM 9 ,19-Aug,SFAX,SFAX,158385.787,119.0,1330.9730000000002
SKHIRA,GAZOIL SANS SOUFRE,Rte DE L'AEROPORT KM 9 ,19-Aug,SFAX,SFAX,87082.464,56.0,1555.044
SKHIRA,GASOIL,EL JEM,19-Aug,MAHDIA,EL JEM,930350.127,699.0,1330.973
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,KSAR SAID,19-Aug,TUNIS,KSAR SAID,75093.255,45.0,1668.739
GOULETTE,SSP SUPER SANS PLOMB,S. LAHED .S,19-Aug,SOUSSE,SOUSSE,307047.976,184.0,1668.739
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,M. BOURGUIBA,19-Jun,BIZERTE,MENZEL BOURGUIBA,97862.24,56.0,1747.5400000000002
GOULETTE,SSP SUPER SANS PLOMB,SORTIE SUD Z4,19-Aug,TUNIS,TUNIS VILLE,1051305.57,630.0,1668.739
SKHIRA,GASOIL,HAZOUA,19-Aug,TOZEUR,HASOUA,41260.163,31.0,1330.973
SKHIRA,SSP SUPER SANS PLOMB,KSOUR ESSEF 2,19-Aug,MAHDIA,KSOUR ESSAF,220273.548,132.0,1668.739
SKHIRA,SSP SUPER SANS PLOMB,HAZOUA,19-Aug,TOZEUR,HASOUA,10012.434,6.0,1668.7389999999998
GOULETTE,GASOIL,KSAR HELAL,19-Sep,MONASTIR,KSAR HELLAL,195653.031,147.0,1330.973
SKHIRA,SSP SUPER SANS PLOMB,KEBILI (ex-GPL),19-Aug,KEBILI,KEBILI,8343.695,5.0,1668.739
GOULETTE,GASOIL,ENNASR ARIANA,19-Aug,ARIANA,ENNASR,111801.732,84.0,1330.973
SKHIRA,SSP SUPER SANS PLOMB,MELLOULECH,19-Aug,MAHDIA,MELLOULECH,116811.73,70.0,1668.739
SKHIRA,GAZOIL SANS SOUFRE,SIDGHEYNE,19-Aug,MEDENINE,HOUMT SOUK,133733.784,86.0,1555.044
SKHIRA,SSP SUPER SANS PLOMB,M. EL HABIB,19-Aug,GABES,MENZEL EL HABIB,48393.431,29.0,1668.7389999999998
SKHIRA,GAZOIL SANS SOUFRE,M. EL HABIB,19-Aug,GABES,MENZEL EL HABIB,24880.704,16.0,1555.044
GOULETTE,GASOIL,BOU SALEM,19-Aug,JENDOUBA,BOUSALEM,537713.092,404.0,1330.973
GOULETTE,GASOIL,C.B.Ammar,19-Aug,ARIANA,CEBALET B AMMAR,254215.843,191.0,1330.973
GOULETTE,SSP SUPER SANS PLOMB,SIDI BENNOUR,19-Aug,MONASTIR,SIDI BEN NOUR,226948.504,136.0,1668.7389999999998
BIZERTE CARBURANT,GASOIL,RAS DJEBEL,19-Sep,BIZERTE,RAS DJEBEL,165040.652,124.0,1330.973
SKHIRA,GASOIL,MARETH,19-Aug,GABES,MARETH,254215.843,191.0,1330.973
GOULETTE,GASOIL,KALAA EL KEBIRA,19-Aug,SOUSSE,KALAA KBIRA,697429.852,524.0,1330.973
SKHIRA,SSP SUPER SANS PLOMB,Rte SIDI MANSOUR,19-Aug,SFAX,SFAX,273673.196,164.0,1668.739
SKHIRA,GAZOIL SANS SOUFRE,CITE EL HABIB - SFAX GPL,19-Aug,SFAX,SFAX,73087.068,47.0,1555.044
SKHIRA,GAZOIL SANS SOUFRE,MENZEL M'HIRI,19-Jun,KAIROUAN,MENZEL M'HIRI,3114.514,2.0,1557.257
GOULETTE,GAZOIL SANS SOUFRE,KSAR HELAL,19-May,MONASTIR,KSAR HELLAL,6229.028,4.0,1557.257
GOULETTE,GAZOIL SANS SOUFRE,SIDI EL HENI,19-May,SOUSSE,SIDI EL HENI,6229.028,4.0,1557.257
GOULETTE,APS AGILIX PREMIUM ESS.,ENNASR ARIANA,19-May,ARIANA,ENNASR,7294.452,4.0,1823.613
GOULETTE,GAZOIL SANS SOUFRE,SIDI BOUSAID,19-May,TUNIS,SIDI BOUSAID,6229.028,4.0,1557.257
GOULETTE,APG AGILIX PREMIUM GAS.,CITE OLYMPIQUE,19-Jun,TUNIS,CITE ELKHADRA,17092.92,10.0,1709.292
GOULETTE,GAZOIL SANS SOUFRE,GROMBALIA,19-May,NABEUL,GROMBALIA,12458.056,8.0,1557.257
GOULETTE,SSP SUPER SANS PLOMB,SOUSSE REPUB,19-Jun,SOUSSE,SOUSSE,26733.44,16.0,1670.84
SKHIRA,GASOIL,REMADA,19-Jun,TATAOUINE,REMADA,22664.162,17.0,1333.186
GOULETTE,GAZOIL SANS SOUFRE,SORTIE SUD Z4,19-May,TUNIS,TUNIS VILLE,21801.598,14.0,1557.257
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,HERGLA,19-Aug,SOUSSE,HERGLA,15018.651,9.0,1668.739
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,KANTAOUI,19-Aug,SOUSSE,HAMMAM SOUSSE,20024.868,12.0,1668.7389999999998
SKHIRA,GAZOIL SANS SOUFRE,HAJEB EL AYOUN,19-Aug,KAIROUAN,HAJEB EL AYOUN,52871.496,34.0,1555.044
GOULETTE,SSP SUPER SANS PLOMB,DAR ALLOUCHE,19-Sep,NABEUL,DAR ALLOUCHE,23362.346,14.0,1668.739
GOULETTE,GAZOIL SANS SOUFRE,MSAKEN,19-Aug,SOUSSE,M'SAKEN,73087.068,47.0,1555.044
GOULETTE,GAZOIL SANS SOUFRE,ENNASR ARIANA,19-Sep,ARIANA,ENNASR,219261.204,141.0,1555.044
GOULETTE,GAZOIL SANS SOUFRE,TATAOUINE,19-Jun,TATAOUINE,TATAOUINE,9343.542,6.0,1557.2569999999998
GOULETTE,GAZOIL SANS SOUFRE,CITE OLYMPIQUE,19-May,TUNIS,CITE ELKHADRA,24916.112,16.0,1557.257
SKHIRA,GAZOIL SANS SOUFRE,SIDI BOUALI,19-Mar,SOUSSE,SIDI BOU ALI,5952.92,4.0,1488.23
GOULETTE,SSP SUPER SANS PLOMB,EZZOUHOUR,19-Aug,TUNIS,EZZOUHOUR,288691.847,173.0,1668.739
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,GRIAAT N. PK29,19-Jun,BEJA,MEDJEZ EL BAB,20244.341,13.0,1557.257
BIZERTE CARBURANT,APG AGILIX PREMIUM GAS.,ZARZOUNA,19-Aug,BIZERTE,ZARZOUNA,10242.48,6.0,1707.08
BIZERTE CARBURANT,GASOIL,EL MRAZKA,19-Jun,NABEUL,HAMMAMET,7999.116,6.0,1333.186
GOULETTE,APG AGILIX PREMIUM GAS.,KAIROUAN,19-Jun,KAIROUAN,KAIROUAN,6837.168,4.0,1709.292
SKHIRA,GAZOIL SANS SOUFRE,SFAX GP1,19-Aug,SFAX,SFAX,68159.448,42.0,1622.844
SKHIRA,GAZOIL SANS SOUFRE,NAFTA,19-Aug,TOZEUR,NEFTA,21770.616,14.0,1555.044
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,FOUCHANA,19-Sep,BEN AROUS,FOUCHANA,6674.956,4.0,1668.739
ZARZIS,SSP SUPER SANS PLOMB,REMADA,19-Mar,TATAOUINE,REMADA,27289.998,17.0,1605.294
SKHIRA,APS AGILIX PREMIUM ESS.,Rte DE L'AEROPORT KM 9 ,19-Jun,SFAX,SFAX,5470.839,3.0,1823.613
GOULETTE,APS AGILIX PREMIUM ESS.,BEN AROUS,19-Mar,BEN AROUS,BEN AROUS,13997.312,8.0,1749.664
GOULETTE,SSP SUPER SANS PLOMB,MNIHLA,19-Aug,ARIANA,M'NIHLA,236960.938,142.0,1668.739
GOULETTE,SSP SUPER SANS PLOMB,JENDOUBA VILLE,19-Aug,JENDOUBA,JENDOUBA,200248.68,120.0,1668.739
SKHIRA,SSP SUPER SANS PLOMB,REMADA,19-Mar,TATAOUINE,REMADA,14447.646,9.0,1605.294
BIZERTE CARBURANT,APG AGILIX PREMIUM GAS.,GRIAAT S. PK29,19-Mar,BEJA,MEDJEZ EL BAB,13051.328,8.0,1631.416
GOULETTE,APS AGILIX PREMIUM ESS.,SOUSSE MED  ALI,19-Mar,SOUSSE,SOUSSE,5248.992,3.0,1749.664
GOULETTE,SSP SUPER SANS PLOMB,SIDI SMAIL,19-Mar,BEJA,SIDI SMAIL,28895.292,18.0,1605.294
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,EL BATEN,19-Mar,KAIROUAN,EL BATEN,7441.15,5.0,1488.23
SKHIRA,GASOIL,EL KANTRA,19-Mar,MEDENINE,EL KANTRA,46446.47,37.0,1255.31
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,SEJNENE,19-Mar,BIZERTE,SEJNENE,12842.352,8.0,1605.294
SKHIRA,GAZOIL SANS SOUFRE,EL HANCHA,19-Mar,SFAX,HENCHA,5952.92,4.0,1488.23
GOULETTE,GAZOIL SANS SOUFRE,SIDI BOUSAID,19-Mar,TUNIS,SIDI BOUSAID,10417.61,7.0,1488.23
SKHIRA,SSP SUPER SANS PLOMB,TATAOUINE,19-Mar,TATAOUINE,TATAOUINE,22474.116,14.0,1605.294
SKHIRA,GAZOIL SANS SOUFRE,JORF JERBA,19-Mar,MEDENINE,JORF,5952.92,4.0,1488.23
GOULETTE,GASOIL,DAR ALLOUCHE,19-Jul,NABEUL,DAR ALLOUCHE,35962.827,27.0,1331.9565555555555
GOULETTE,GASOIL,ENNASR ARIANA,19-Jul,ARIANA,ENNASR,138527.416,104.0,1331.994384615385
GOULETTE,SSP SUPER SANS PLOMB,GROMBALIA,19-Jul,NABEUL,GROMBALIA,257141.28,154.0,1669.7485714285715
SKHIRA,GAZOIL SANS SOUFRE,ENNASR ARIANA,19-Mar,ARIANA,ENNASR,5952.92,4.0,1488.23
GOULETTE,SSP SUPER SANS PLOMB,KSAR HELAL,19-Jul,MONASTIR,KSAR HELLAL,153593.321,92.0,1669.4926195652174
GOULETTE,GASOIL,M. TEMIME,19-Jul,NABEUL,MENZEL TEMIME,365009.7,274.0,1332.152189781022
GOULETTE,GASOIL,BERGES DU LAC,19-Jul,TUNIS,TUNIS VILLE,270408.819,203.0,1332.0631477832512
GOULETTE,GAZOIL SANS SOUFRE,AMDOUN,19-Jul,BEJA,AMDOUN,12449.204,8.0,1556.1505
GOULETTE,GASOIL,S.A.BOUHAJLA,19-Jul,KAIROUAN,SIDI AMOR BOUHAJLA,7999.116,6.0,1333.186
GOULETTE,GASOIL,SIDI ALOUENE,19-Jul,MAHDIA,SIDI ALOUANE,39995.58,30.0,1333.186
GOULETTE,SSP SUPER SANS PLOMB,DOUALA,19-Jul,NABEUL,DOUALA,40068.645,24.0,1669.5268749999998
GOULETTE,GAZOIL SANS SOUFRE,Rte de RAOUED,19-Oct,ARIANA,ARIANA,63756.804,41.0,1555.044
GOULETTE,SSP SUPER SANS PLOMB,M. TEMIME,19-Jul,NABEUL,MENZEL TEMIME,384005.363,230.0,1669.5885347826088
GOULETTE,SSP SUPER SANS PLOMB,M.DAR BEL OUER,19-Jul,SOUSSE,MENZEL DAR BEL OUAER,56768.641,34.0,1669.665911764706
ZARZIS,GAZOIL SANS SOUFRE,SIDGHEYNE,19-Jul,MEDENINE,HOUMT SOUK,59146.997,38.0,1556.4999210526316
GOULETTE,GAZOIL SANS SOUFRE,BENI KHALLED,19-Jul,NABEUL,BENI-KHALED,45127.258,29.0,1556.1123448275862
GOULETTE,APG AGILIX PREMIUM GAS.,KAIROUAN,19-Jul,KAIROUAN,KAIROUAN,6837.168,4.0,1709.292
GOULETTE,GASOIL,TOZEUR ,19-Sep,TOZEUR,TOZEUR,9316.811,7.0,1330.973
GOULETTE,GASOIL,PORT DE SFAX,19-Jul,SFAX,SFAX,34662.836,26.0,1333.186
SKHIRA,GASOIL,M. HACHED,19-Sep,MAHDIA,MENZEL HACHED,69210.596,52.0,1330.9730000000002
SKHIRA,SSP SUPER SANS PLOMB,M. HACHED,19-Sep,MAHDIA,MENZEL HACHED,28368.563,17.0,1668.7389999999998
SKHIRA,GAZOIL SANS SOUFRE,MAJEL B. ABBES,19-Dec,KASSERINE,MAGEL BEL ABBES,23325.66,15.0,1555.044
GOULETTE,APS AGILIX PREMIUM ESS.,EL MRAZKA,19-Jul,NABEUL,HAMMAMET,16399.911,9.0,1822.2123333333332
GOULETTE,SSP SUPER SANS PLOMB,AV. HEDI SAIDI,19-Jul,TUNIS,TUNIS VILLE,228760.111,137.0,1669.7818321167883
BIZERTE CARBURANT,GASOIL,GRIAAT N. PK29,19-Aug,BEJA,MEDJEZ EL BAB,17302.649,13.0,1330.9730000000002
GOULETTE,APS AGILIX PREMIUM ESS.,AV.BOUGATFA,19-Oct,TUNIS,LE BARDO,5464.536,3.0,1821.512
SKHIRA,GAZOIL SANS SOUFRE,SOUK JEDID,19-Sep,SIDI BOUZID,SOUK DJEDID,12440.352,8.0,1555.044
GOULETTE,GASOIL,KONDAR,19-Aug,SOUSSE,KONDAR,416594.549,313.0,1330.973
SKHIRA,GASOIL,HASSI AMOR,19-Jul,MEDENINE,HASSI AMOR,85264.153,64.0,1332.252390625
GOULETTE,GAZOIL SANS SOUFRE,BORJ CEDRIA,19-Oct,BEN AROUS,BORJ CEDRIA,65311.848,42.0,1555.044
SKHIRA,GASOIL,TOZEUR VILLE,19-Jul,TOZEUR,TOZEUR,126553.085,95.0,1332.1377368421054
SKHIRA,GASOIL,GHRAIBA,19-Jul,SFAX,GHREIBA,151874.767,114.0,1332.234798245614
SKHIRA,SSP SUPER SANS PLOMB,CITE EL HABIB - SFAX GPL,19-Jul,SFAX,SFAX,192033.146,115.0,1669.853443478261
SKHIRA,GAZOIL SANS SOUFRE,MAJEL B. ABBES,19-Jul,KASSERINE,MAGEL BEL ABBES,28012.922,18.0,1556.2734444444443
SKHIRA,SSP SUPER SANS PLOMB,MARETH,19-Jul,GABES,MARETH,108520.56,65.0,1669.547076923077
SKHIRA,SSP SUPER SANS PLOMB,JEMMAL,19-Jul,MONASTIR,JAMMEL,11695.88,7.0,1670.84
SKHIRA,SSP SUPER SANS PLOMB,KORBA,19-Jul,NABEUL,KORBA,16708.4,10.0,1670.84
SKHIRA,GASOIL,SOUASSI,19-Jul,MAHDIA,SOUASSI,211795.108,159.0,1332.0447044025157
SKHIRA,GAZOIL SANS SOUFRE,MAHRES,19-Jul,SFAX,MAHRES,102681.59,66.0,1555.7816666666663
SKHIRA,GAZOIL SANS SOUFRE,M. CHAKER,19-Jul,SFAX,MENZEL CHAKER,6229.028,4.0,1557.257
SKHIRA,GAZOIL SANS SOUFRE,DEGACHE,19-Jul,TOZEUR,DEGACHE,12449.204,8.0,1556.1505
SKHIRA,GAZOIL SANS SOUFRE,B.A.B KHELIFA,19-Jul,SFAX,BIR ALI BEN KHELIFA,80908.761,52.0,1555.9377115384616
GOULETTE,GASOIL,BEN AROUS,19-Sep,BEN AROUS,BEN AROUS,106477.84,80.0,1330.973
SKHIRA,GAZOIL SANS SOUFRE,DAHMANI,19-Jul,LE KEF,DAHMANI,3114.514,2.0,1557.257
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,ZARZOUNA,19-Jul,BIZERTE,ZARZOUNA,88699.472,57.0,1556.1310877192982
BIZERTE CARBURANT,GASOIL,KHETMINE,19-Jul,BIZERTE,KHETMINE,189157.502,142.0,1332.0950845070422
SKHIRA,SSP SUPER SANS PLOMB,HERGLA,19-Jul,SOUSSE,HERGLA,36758.48,22.0,1670.84
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,KHETMINE,19-Jul,BIZERTE,KHETMINE,31123.01,20.0,1556.1505
SKHIRA,GAZOIL SANS SOUFRE,ESSAIDA,19-Jul,SIDI BOUZID,ESSAIDA,14004.248,9.0,1556.0275555555554
SKHIRA,GAZOIL SANS SOUFRE,OUEDHREF,19-Jul,GABES,OUEDHREF,24896.195,16.0,1556.0121875
SKHIRA,GAZOIL SANS SOUFRE,M. HAYET PK156,19-Jul,MONASTIR,MENZEL EL HAYET,9343.542,6.0,1557.2569999999998
SKHIRA,APG AGILIX PREMIUM GAS.,GABES GP1,19-Jul,GABES,GABES,6832.744,4.0,1708.186
GOULETTE,APG AGILIX PREMIUM GAS.,GAMMARTH,19-Aug,TUNIS,GAMMARTH,5121.24,3.0,1707.08
GOULETTE,GASOIL,ENNADHOUR,19-Aug,ZAGHOUAN,NADOUR,29281.406,22.0,1330.973
GOULETTE,GASOIL,DOUALA,19-Aug,NABEUL,DOUALA,70541.569,53.0,1330.973
SKHIRA,GASOIL,BEN AOUN,19-Aug,SIDI BOUZID,BEN AOUN,18633.622,14.0,1330.973
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,LE SERS,19-Aug,LE KEF,LE SERS,10012.434,6.0,1668.7389999999998
GOULETTE,GAZOIL SANS SOUFRE,KERKER,19-Oct,MAHDIA,KERKER,23325.66,15.0,1555.044
GOULETTE,GAZOIL SANS SOUFRE,SOUSSE REPUB,19-Aug,SOUSSE,SOUSSE,37321.056,24.0,1555.044
GOULETTE,SSP SUPER SANS PLOMB,KAIROUAN,19-Sep,KAIROUAN,KAIROUAN,158530.205,95.0,1668.7389999999998
GOULETTE,GAZOIL SANS SOUFRE,KAIROUAN,19-Sep,KAIROUAN,KAIROUAN,87082.464,56.0,1555.044
GOULETTE,GASOIL,AV REPUBLIQUE,19-Aug,TUNIS,TUNIS VILLE,122449.516,92.0,1330.973
GOULETTE,GASOIL,DAHMANI,19-Aug,LE KEF,DAHMANI,107808.813,81.0,1330.973
GOULETTE,GAZOIL SANS SOUFRE,JENDOUBA GP17,19-Aug,JENDOUBA,JENDOUBA,52871.496,34.0,1555.044
GOULETTE,APS AGILIX PREMIUM ESS.,BERGES DU LAC,19-Aug,TUNIS,TUNIS VILLE,27322.68,15.0,1821.512
GOULETTE,SSP SUPER SANS PLOMB,TOUZA,19-Aug,MONASTIR,MOKNINE,26699.824,16.0,1668.739
GOULETTE,APS AGILIX PREMIUM ESS.,GAMMARTH,19-Aug,TUNIS,GAMMARTH,5464.536,3.0,1821.512
SKHIRA,APS AGILIX PREMIUM ESS.,CITE EL MOEZ  SFAX,19-Aug,SFAX,SFAX,3643.024,2.0,1821.512
GOULETTE,GAZOIL SANS SOUFRE,DAR ALLOUCHE,19-Aug,NABEUL,DAR ALLOUCHE,10885.308,7.0,1555.044
GOULETTE,SSP SUPER SANS PLOMB,EL MOUROUJ 3,19-Aug,BEN AROUS,EL MOUROUJ,61743.343,37.0,1668.739
BIZERTE CARBURANT,GASOIL,AV DE CARTHAGE,19-Aug,TUNIS,TUNIS VILLE,15971.676,12.0,1330.973
GOULETTE,APS AGILIX PREMIUM ESS.,NABEUL,19-Jul,NABEUL,NABEUL,5464.536,3.0,1821.512
GOULETTE,APS AGILIX PREMIUM ESS.,AV REPUBLIQUE,19-Aug,TUNIS,TUNIS VILLE,5464.536,3.0,1821.512
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,SIDI BOUSAID,19-Aug,TUNIS,SIDI BOUSAID,4665.132,3.0,1555.044
SKHIRA,SSP SUPER SANS PLOMB,EL KANTRA,19-Jul,MEDENINE,EL KANTRA,45055.953,27.0,1668.739
BIZERTE CARBURANT,GASOIL,S. LAHED .S,19-Jul,SOUSSE,SOUSSE,71872.542,54.0,1330.973
GOULETTE,GAZOIL SANS SOUFRE,BEL AOUM,19-Aug,SOUSSE,BEL OUM,3110.088,2.0,1555.044
BIZERTE CARBURANT,GASOIL,AZMOUR,19-Jul,NABEUL,AZMOUR,9316.811,7.0,1330.973
SKHIRA,SSP SUPER SANS PLOMB,M. CHAKER,19-Sep,SFAX,MENZEL CHAKER,30037.302,18.0,1668.739
GOULETTE,GASOIL,EL MOUROUJ,19-Sep,BEN AROUS,BIR EL KASSAA,280835.303,211.0,1330.973
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,Rte de RAOUED,19-Sep,ARIANA,ARIANA,16687.39,10.0,1668.739
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,S.A. BOUKHTIOUA,19-Sep,ARIANA,RAOUED,10012.434,6.0,1668.7389999999998
SKHIRA,SSP SUPER SANS PLOMB,M. HAYET PK156,19-Sep,MONASTIR,MENZEL EL HAYET,61743.343,37.0,1668.739
SKHIRA,SSP SUPER SANS PLOMB,KSAR SAID,19-Sep,TUNIS,KSAR SAID,61743.343,37.0,1668.739
BIZERTE CARBURANT,GAZOIL SANS SOUFRE,TABARKA,19-Sep,JENDOUBA,TABARKA,21770.616,14.0,1555.044
GOULETTE,SSP SUPER SANS PLOMB,FOUCHANA,19-Sep,BEN AROUS,FOUCHANA,156861.466,94.0,1668.7389999999998
BIZERTE CARBURANT,GASOIL,TABARKA,19-Sep,JENDOUBA,TABARKA,75865.461,57.0,1330.973
BIZERTE CARBURANT,GASOIL,ENNASR ARIANA,19-Aug,ARIANA,ENNASR,7985.838,6.0,1330.973
GOULETTE,GAZOIL SANS SOUFRE,KONDAR,19-Sep,SOUSSE,KONDAR,38876.1,25.0,1555.044
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,MNIHLA,19-Sep,ARIANA,M'NIHLA,20024.868,12.0,1668.7389999999998
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,GOULETTE,19-Sep,TUNIS,LA GOULETTE,15018.651,9.0,1668.739
BIZERTE CARBURANT,SSP SUPER SANS PLOMB,SAHLOUL,19-Sep,SOUSSE,SOUSSE,26699.824,16.0,1668.739
GOULETTE,SSP SUPER SANS PLOMB,OUERDANINE,19-Sep,MONASTIR,EL OUERDANINE,43387.214,26.0,1668.739
GOULETTE,APS AGILIX PREMIUM ESS.,AV.BOUGATFA,19-Sep,TUNIS,LE BARDO,5464.536,3.0,1821.512
GOULETTE,SSP SUPER SANS PLOMB,KERKER,19-Sep,MAHDIA,KERKER,53399.648,32.0,1668.739
GOULETTE,GASOIL,GHRAIBA,19-Sep,SFAX,GHREIBA,9316.811,7.0,1330.973
SKHIRA,SSP SUPER SANS PLOMB,MSAKEN,19-Sep,SOUSSE,M'SAKEN,11681.173,7.0,1668.739
GOULETTE,GAZOIL SANS SOUFRE,BEL AOUM,19-Oct,SOUSSE,BEL OUM,3110.088,2.0,1555.044
GOULETTE,GASOIL,M. HAYET PK156,19-Nov,MONASTIR,MENZEL EL HAYET,196984.004,148.0,1330.973
GOULETTE,APS AGILIX PREMIUM ESS.,DEN DEN ,19-Oct,MANOUBA,DENDEN,5464.536,3.0,1821.512
ZARZIS,SSP SUPER SANS PLOMB,HAJEB EL AYOUN,19-Sep,KAIROUAN,HAJEB EL AYOUN,10012.434,6.0,1668.7389999999998
SKHIRA,SSP SUPER SANS PLOMB,BORJ EL AMRI,19-Sep,MANOUBA,BORJ EL AMRI,8343.695,5.0,1668.739
GOULETTE,GASOIL,OUERDANINE,19-Oct,MONASTIR,EL OUERDANINE,58562.812,44.0,1330.973
ZARZIS,SSP SUPER SANS PLOMB,Rte SIDI MANSOUR,19-Sep,SFAX,SFAX,11681.173,7.0,1668.739
GOULETTE,GASOIL,B.A.B KHELIFA,19-Sep,SFAX,BIR ALI BEN KHELIFA,19964.595,15.0,1330.9730000000002
GOULETTE,GASOIL,CHERARDA,19-Sep,KAIROUAN,CHERARDA,18633.622,14.0,1330.973
GOULETTE,SSP SUPER SANS PLOMB,KSOUR ESSEF 2,19-Sep,MAHDIA,KSOUR ESSAF,15018.651,9.0,1668.739
ZARZIS,GAZOIL SANS SOUFRE,SFAX GP1,19-Sep,SFAX,SFAX,3245.688,2.0,1622.844
SKHIRA,GASOIL,MEKNASSY,19-Oct,SIDI BOUZID,MEKNASSY,122449.516,92.0,1330.973
SKHIRA,GAZOIL SANS SOUFRE,MEKNASSY,19-Oct,SIDI BOUZID,MEKNASSY,32655.924,21.0,1555.044
GOULETTE,APS AGILIX PREMIUM ESS.,S. LAHED .S,19-Sep,SOUSSE,SOUSSE,7286.048,4.0,1821.512
BIZERTE CARBURANT,GASOIL,BEN AROUS MC 34,19-Jul,BEN AROUS,BEN AROUS,39929.19,30.0,1330.9730000000002
GOULETTE,APS AGILIX PREMIUM ESS.,BEN AROUS MC 34,19-Oct,BEN AROUS,BEN AROUS,7286.048,4.0,1821.512
SKHIRA,SSP SUPER SANS PLOMB,REGUEB,19-Oct,SIDI BOUZID,ERREGUEB,45055.953,27.0,1668.739
SKHIRA,GAZOIL SANS SOUFRE,Rte DE L'AEROPORT KM 9 ,19-Oct,SFAX,SFAX,73087.068,47.0,1555.044
