NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT
4,1,153600,18-Dec,21,37,26394.963,21,1256.903
3,3,155290,19-Jan,20,31,5952.92,4,1488.23
3,3,152220,19-Jan,19,44,16370.53,11,1488.23
1,3,155510,18-Dec,3,21,7449.115,5,1489.823
3,3,154730,18-Jul,14,14,74709.752,52,1436.726
2,1,154730,19-Jan,14,14,527230.2,420,1255.31
2,1,155580,19-Jan,13,40,18829.65,15,1255.31
1,2,154920,18-Jul,15,28,146300.284,94,1556.386
3,2,155770,18-Jul,6,40,196104.636,126,1556.386
2,2,154500,18-Jul,1,43,958733.776,616,1556.386
1,1,155460,18-Jul,19,45,55954.957,47,1190.531
2,1,154000,19-Feb,4,35,112977.9,90,1255.31
2,2,154000,19-Feb,4,35,155713.518,97,1605.294
1,1,153600,18-Jul,21,37,64288.674,54,1190.531
1,1,154490,18-Jul,15,27,227391.421,191,1190.531
1,2,154010,18-Jul,14,21,34240.492,22,1556.386
2,1,154790,18-Jul,1,43,239296.731,201,1190.531
2,1,155210,18-Jul,8,22,627409.837,527,1190.531
2,2,153640,18-Jul,3,36,191435.478,123,1556.386
2,1,154500,18-Jul,1,43,341682.397,287,1190.531
3,5,155140,18-Jul,4,36,6313.276,4,1578.319
1,1,153290,18-Dec,16,51,64067.007,51,1256.215824
1,3,153560,18-Jul,16,35,165223.49,115,1436.726
2,1,155270,18-Jul,3,16,119053.1,100,1190.531
3,3,155770,18-Jul,6,40,66089.396,46,1436.726
2,1,150300,18-Jul,1,43,167864.871,141,1190.531
1,2,155650,19-Jan,16,35,113975.874,71,1605.294
2,1,154380,19-May,7,33,274636.316,206,1333.186
2,2,152220,19-Jan,19,44,33711.174,21,1605.294
2,2,155430,19-Feb,4,30,118791.756,74,1605.294
3,3,153570,18-Aug,10,3,22987.616,16,1436.726
2,1,154450,19-Jan,3,52,278678.82,222,1255.31
4,2,152500,19-Feb,22,1,102738.816,64,1605.294
2,2,153260,19-Feb,14,27,248820.57,155,1605.294
4,3,152500,19-Feb,22,1,58040.97,39,1488.23
2,2,155510,19-Jan,3,21,199056.456,124,1605.294
2,1,150810,19-Jan,13,25,46446.47,37,1255.31
2,2,150300,19-Jan,1,43,248820.57,155,1605.294
1,3,153000,18-Nov,23,95,34265.929,23,1489.823
1,2,155550,19-Jan,19,81,14447.646,9,1605.294
2,1,154920,19-Jan,15,28,227211.11,181,1255.31
2,2,154400,19-Jan,7,81,20868.822,13,1605.294
2,2,153240,19-Jan,4,21,146081.754,91,1605.294
2,2,153170,19-Jan,22,3,12842.352,8,1605.294
3,3,154430,18-Aug,8,33,27297.794,19,1436.726
3,3,151770,18-Jul,14,28,50285.41,35,1436.726
1,1,152400,18-Jul,13,29,17857.965,15,1190.531
2,2,151110,19-Jan,1,13,126818.226,79,1605.294
2,1,154970,18-Jul,9,8,122624.693,103,1190.531
1,2,154100,18-Jul,11,28,15563.86,10,1556.386
3,2,153550,18-Jul,8,1,52917.124,34,1556.386
1,3,155290,18-Jul,20,31,18677.438,13,1436.726
1,2,153560,18-Nov,16,35,130151.367,81,1606.807
1,1,155580,18-Jul,13,40,75003.453,63,1190.531
3,3,154870,18-Nov,14,28,132594.247,89,1489.823
2,1,154310,18-Jul,4,22,47621.24,40,1190.531
2,1,153780,18-Jul,5,25,149754.906,126,1188.531
2,1,155740,18-Jul,3,52,64288.674,54,1190.531
1,2,150500,19-Jan,18,49,52974.702,33,1605.294
3,1,150470,18-Aug,6,1,92861.418,78,1190.531
3,3,155780,18-Aug,7,57,37354.876,26,1436.726
4,3,153170,18-Aug,22,3,53158.862,37,1436.726
3,2,152440,18-Aug,14,6,10894.702,7,1556.386
3,5,154500,19-Jan,1,43,29365.488,18,1631.416
2,2,153110,19-Jan,22,96,6421.176,4,1605.294
1,2,152800,19-Jan,14,13,16052.94,10,1605.294
2,2,155830,18-Jul,3,97,154082.214,99,1556.386
3,1,154400,18-Dec,7,81,16339.739,13,1256.903
1,2,155620,18-Jul,14,8,31127.72,20,1556.386
3,4,151140,18-Jul,1,75,23789.416,14,1699.244
3,3,155620,18-Jul,14,8,66089.396,46,1436.726
2,2,155010,18-Jul,12,23,3112.772,2,1556.386
3,1,155670,18-Jul,7,33,11905.31,10,1190.531
2,2,152970,18-Jul,10,48,3112.772,2,1556.386
1,3,155090,18-Jul,13,12,24424.342,17,1436.726
2,2,153410,18-Jul,14,27,144743.898,93,1556.386
3,3,155640,18-Aug,15,16,94823.916,66,1436.726
3,3,152170,18-Jul,4,6,4310.178,3,1436.726
2,2,152800,18-Jul,14,13,35796.878,23,1556.386
3,1,154130,18-Jul,7,34,8333.717,7,1190.531
3,2,154400,19-Jan,7,81,4815.882,3,1605.294
2,2,154740,18-Jul,11,54,23345.79,15,1556.386
1,2,155290,18-Dec,20,31,40153.532,25,1606.14128
1,1,150990,18-Dec,18,42,123098.437,98,1256.1065
1,2,154110,18-Jul,4,2,15563.86,10,1556.386
2,1,155020,18-Nov,1,58,296629.108,236,1256.903
2,2,153410,18-Aug,14,27,191435.478,123,1556.386
2,1,153410,18-Aug,14,27,173817.526,146,1190.531
3,2,154870,18-Jul,14,28,21789.404,14,1556.386
3,5,155330,18-Jul,1,90,7891.595,5,1578.319
2,1,155570,18-Nov,15,38,174709.517,139,1256.903
3,2,153410,18-Jul,14,27,28014.948,18,1556.386
2,2,151140,18-Nov,1,75,249055.085,155,1606.807
2,2,154160,18-Aug,3,22,178984.39,115,1556.386
2,1,152620,18-Aug,1,43,75003.453,63,1190.531
2,1,155760,18-Nov,3,97,438659.147,349,1256.903
2,1,154520,18-Aug,4,11,439305.939,369,1190.531
1,1,155690,18-Nov,21,2,41477.799,33,1256.903
2,1,152930,18-Aug,1,40,50002.302,42,1190.531
2,1,155830,18-Aug,3,97,40478.054,34,1190.531
1,2,154100,18-Nov,11,28,14461.263,9,1606.807
2,2,153350,18-Jul,16,8,15563.86,10,1556.386
3,2,154360,18-Aug,5,34,9338.316,6,1556.386
1,3,155690,18-Aug,21,2,14367.26,10,1436.726
1,2,155820,18-Aug,14,39,146300.284,94,1556.386
1,1,154820,18-Aug,15,98,151197.437,127,1190.531
1,3,153940,18-Aug,22,22,68962.848,48,1436.726
1,1,153970,18-Aug,11,29,54764.426,46,1190.531
1,1,155200,18-Aug,11,27,157150.092,132,1190.531
1,1,153350,18-Aug,16,8,116672.038,98,1190.531
1,1,154710,18-Aug,17,67,88099.294,74,1190.531
2,2,153470,18-Aug,10,24,12451.088,8,1556.386
1,2,152220,18-Aug,19,44,130736.424,84,1556.386
2,1,155830,18-Aug,3,53,113100.445,95,1190.531
1,2,150500,18-Aug,18,49,140074.74,90,1556.386
1,3,155550,18-Aug,19,81,7183.63,5,1436.726
2,1,153770,18-Aug,4,47,72622.391,61,1190.531
2,1,155080,18-Jul,21,29,7143.186,6,1190.531
2,2,151030,18-Jul,21,1,20233.018,13,1556.386
1,1,155160,18-Nov,22,14,103066.046,82,1256.903
4,3,153940,18-Aug,22,25,126431.888,88,1436.726
2,2,152590,18-Aug,5,37,138518.354,89,1556.386
3,3,152970,18-Jul,10,48,4310.178,3,1436.726
1,3,150810,18-Nov,13,25,113226.548,76,1489.823
3,1,154250,18-Jul,14,28,7143.186,6,1190.531
1,1,153190,18-Aug,16,13,40478.054,34,1190.531
1,2,155830,18-Aug,3,97,80932.072,52,1556.386
3,4,150470,18-Aug,6,1,6796.976,4,1699.244
2,2,154760,18-Aug,4,24,80932.072,52,1556.386
1,1,154740,18-Aug,11,54,61907.612,52,1190.531
1,1,155270,18-Aug,3,16,13095.841,11,1190.531
3,2,155750,18-Aug,1,50,29571.334,19,1556.386
3,2,154770,18-Aug,7,19,6225.544,4,1556.386
2,2,155180,18-Aug,8,26,9338.316,6,1556.386
3,2,155420,18-Aug,12,77,12451.088,8,1556.386
2,2,155320,18-Jul,22,1,17120.246,11,1556.386
3,2,150470,18-Nov,6,1,226559.787,141,1606.807
2,2,155360,18-Jul,16,38,15563.86,10,1556.386
2,1,154820,18-Aug,15,28,84527.701,71,1190.531
2,2,154190,18-Jul,16,1,6225.544,4,1556.386
2,1,151620,18-Jul,12,20,9524.248,8,1190.531
1,3,153860,18-Aug,11,21,2873.452,2,1436.726
1,3,154450,18-Aug,3,52,38791.602,27,1436.726
1,1,151770,18-Aug,14,28,50002.302,42,1190.531
1,1,153800,18-Aug,11,13,60717.081,51,1190.531
2,4,155620,18-Jul,14,8,5097.732,3,1699.244
2,1,153990,18-Nov,2,13,120662.688,96,1256.903
2,1,152160,18-Jul,17,58,3571.593,3,1190.531
3,2,152930,18-Aug,1,40,35796.878,23,1556.386
3,2,153180,18-Aug,17,67,24902.176,16,1556.386
3,2,150810,18-Aug,13,25,38909.65,25,1556.386
3,1,153900,18-Aug,17,67,15476.903,13,1190.531
3,1,155590,18-Aug,17,67,16667.434,14,1190.531
3,1,150990,18-Aug,18,42,23810.62,20,1190.531
2,2,154740,18-Aug,11,54,20233.018,13,1556.386
3,3,155520,18-Aug,17,38,10057.082,7,1436.726
3,2,150990,18-Aug,18,42,63811.826,41,1556.386
1,3,155420,18-Aug,12,77,30171.246,21,1436.726
2,1,154430,18-Aug,8,33,55954.957,47,1190.531
1,2,154260,18-Aug,1,47,99608.704,64,1556.386
1,3,152510,18-Aug,2,91,11493.808,8,1436.726
1,2,152510,18-Aug,2,91,45135.194,29,1556.386
2,2,153560,18-Aug,16,35,35796.878,23,1556.386
2,4,155630,18-Aug,14,28,15293.196,9,1699.244
2,1,155320,18-Aug,22,1,8333.717,7,1190.531
2,1,152160,18-Aug,17,61,7143.186,6,1190.531
2,2,151030,18-Aug,21,1,15563.86,10,1556.386
2,1,153190,18-Aug,16,13,5952.655,5,1190.531
2,1,155160,18-Aug,22,14,21429.558,18,1190.531
1,2,155520,18-Sep,17,38,92892.28,58,1601.591034
3,3,153930,18-Aug,13,19,7183.63,5,1436.726
2,1,155750,18-Sep,1,50,122114.542,98,1246.066755
1,3,154500,18-Aug,1,43,34481.424,24,1436.726
2,2,154110,18-Sep,4,2,102583.543,64,1602.867859
2,1,154000,18-Sep,4,35,111466.135,89,1252.428483
1,2,155270,18-Aug,3,16,42022.422,27,1556.386
3,2,151770,18-Aug,14,28,23345.79,15,1556.386
3,3,155560,18-Aug,15,19,5746.904,4,1436.726
3,2,155620,18-Aug,14,8,17120.246,11,1556.386
1,3,152590,18-Aug,5,37,7183.63,5,1436.726
3,3,153670,18-Aug,21,5,5746.904,4,1436.726
3,2,153670,18-Aug,21,5,6225.544,4,1556.386
3,2,155660,18-Aug,7,33,49804.352,32,1556.386
4,3,155730,18-Aug,13,19,4310.178,3,1436.726
2,2,153940,18-Aug,22,25,24902.176,16,1556.386
3,3,153290,18-Aug,16,51,4310.178,3,1436.726
1,2,153490,18-Aug,11,42,17120.246,11,1556.386
2,2,153990,18-Jun,2,13,1108227.774,734,1509.847104
3,2,152510,18-Aug,2,91,10894.702,7,1556.386
1,1,155380,18-Aug,2,12,8333.717,7,1190.531
3,3,155720,18-Jun,3,97,28734.52,20,1436.726
2,1,154870,18-Jun,14,28,70299.371,61,1152.448705
2,1,152290,18-Jun,4,26,218899.97,190,1152.105105
2,1,154520,18-Sep,4,11,331751.855,265,1251.893792
2,2,155510,18-Sep,3,21,247448.278,154,1606.807
1,3,153900,18-Jun,17,67,40403.986,29,1393.240897
3,1,155640,18-Jun,15,16,17857.965,15,1190.531
3,3,155820,18-Jun,14,39,146011.074,105,1390.581657
1,1,153300,18-Sep,17,67,113121.27,90,1256.903
2,1,153650,18-Jun,2,94,256063.589,223,1148.267215
1,2,154270,18-Jun,17,30,39268.561,26,1510.329269
1,2,154280,18-Jun,17,67,131308.957,87,1509.298356
1,2,155310,18-Jun,12,15,92292.496,61,1512.991738
2,2,151560,18-Sep,4,42,33591.684,21,1599.604
1,1,153560,18-Jun,16,35,817915.086,714,1145.539336
1,2,152800,18-Jun,14,13,37964.275,25,1518.571
